travel_type,rating,label,covid,is_local,aspect_sentiment,topic_2,topic_0,topic_1,topic_3,overall_textblob_polarity
,3.0,Neutral,PostCovid,0,"[[staff, small, 3], [staff, friendly, 3], [room, disabled, 0], [room, clean, 0], [hotel, generous, 2], [hotel, different, 2], [walk, close, 2]]",0.0,0.08333333333333334,,0.0625,0.13368055555555555
,3.0,Neutral,PostCovid,0,"[[room, typical, 0], [space, small, 1], [space, 'quite small', 1], [space, enough, 1], [bathroom, limited, 1]]",,-0.16666666666666666,-0.14285714285714285,,0.09697420634920634
,4.0,Positive,PostCovid,0,"[[night, ibis, 0], [room, mere, 0], [area, great, 1], [day, last, 3], [time, long, 3]]",,-0.25,0.8,-0.025,0.15833333333333333
,5.0,Positive,PostCovid,0,"[[room, ongoing, 0]]",,0.0,,,0.5142857142857143
,5.0,Positive,PostCovid,0,"[[room, excellent, 0], [room, friendly, 0], [room, clean, 0], [food, great, 2]]",0.8,0.5805555555555556,,,0.4383333333333333
,5.0,Positive,PostCovid,0,"[[breakfast, excellent, 2]]",1.0,,,,0.55
,2.0,Negative,PostCovid,0,"[[room, 'least disappointed', 0], [room, next, 0], [bathroom, hard, 1], [staff, refresh, 3]]",,-0.2625,-0.2916666666666667,0.0,-0.07583333333333334
,4.0,Positive,PostCovid,0,"[[breakfast, friendly, 2], [breakfast, hospitable, 2], [room, small, 0]]",0.1875,-0.25,,,0.26916666666666667
,4.0,Positive,PostCovid,0,"[[room, breeze, 0], [room, clean, 0], [bed, comfortable, 1], [breakfast, short, 2], [hotel, available, 2]]",0.2,0.18333333333333335,0.4,,0.28822751322751317
,4.0,Positive,PostCovid,0,"[[stay, comfortable, 3], [water, hot, 1], [breakfast, consistent, 2], [breakfast, good, 2], [stay, satisfactory, 3]]",0.475,,0.25,0.2,0.3424242424242424
,5.0,Positive,PostCovid,0,"[[staff, new, 3], [day, next, 3], [use, smart, 1]]",,,0.21428571428571427,0.06818181818181818,0.17454800101858925
,4.0,Positive,PostCovid,0,"[[hotel, preferred, 2], [room, clean, 0], [room, comfortable, 0], [staff, convenient, 3], [staff, special, 3], [staff, dietary, 3], [staff, friendly, 3], [staff, helpful, 3], [use, immediate, 1], [time, many, 3], [time, official, 3]]",0.0,0.38333333333333336,0.0,0.1760204081632653,0.14080086580086582
couple,4.0,Positive,PostCovid,0,"[[staff, nice, 3], [size, efficient, 0], [size, good, 0]]",,0.35,,0.6,0.4535714285714285
,4.0,Positive,PostCovid,0,"[[time, next, 3]]",,,,0.0,0.33199999999999996
business,2.0,Negative,PostCovid,0,"[[walk, good, 2]]",0.7,,,,0.475
,4.0,Positive,PostCovid,0,"[[staff, friendly, 3], [stay, understandable, 3], [stay, great, 3], [stay, 'otherwise great', 3]]",,,,0.49375,0.3125
business,4.0,Positive,PostCovid,0,"[[room, comfortable, 0]]",,0.4,,,0.17250000000000001
,4.0,Positive,PostCovid,0,"[[staff, 'well designed', 3], [staff, comfortable, 3]]",,,,0.2,0.4916666666666667
business,5.0,Positive,PostCovid,0,"[[size, good, 0], [size, good, 0], [help, available, 3], [stay, great, 3]]",,0.7,,0.6000000000000001,0.4636363636363637
,4.0,Positive,PostCovid,0,"[[help, ready, 3], [stay, expensive, 3], [stay, 'overall expensive', 3], [stay, 'truly budget', 3], [night, restless, 0]]",,0.0,,-0.1375,0.06513605442176872
,5.0,Positive,PostCovid,0,"[[time, second, 3], [room, ibis, 0], [room, warm, 0]]",,0.3,,0.0,0.3063690476190476
,5.0,Positive,PostCovid,0,"[[hotel, excellent, 2]]",1.0,,,,0.3880952380952381
,4.0,Positive,PostCovid,0,"[[bed, gritty, 1], [bathroom, comfortable, 1], [staff, functional, 3], [use, positive, 1], [use, 'conveniently positive', 1]]",,,0.21363636363636365,0.0,0.23581267217630852
,4.0,Positive,PostCovid,0,"[[stay, short, 3], [room, simple, 0], [room, easy, 0], [room, ibis, 0], [bed, simple, 1], [bed, functional, 1], [bed, clean, 1], [bed, spacious, 1], [bathroom, comfortable, 1], [water, hot, 1], [bed, minor, 1]]",,0.14444444444444446,0.13809523809523808,0.0,0.30092592592592593
,2.0,Negative,PostCovid,0,"[[room, small, 0], [room, bigger, 0]]",,-0.125,,,-0.012499999999999997
,5.0,Positive,PostCovid,0,"[[check, clean, 3], [floor, clean, 1]]",,,0.3666666666666667,0.3666666666666667,0.35401785714285716
,3.0,Neutral,PostCovid,0,"[[room, quiet, 0], [use, constant, 1], [shower, top, 1]]",,0.0,0.25,,0.04027777777777778
,4.0,Positive,PostCovid,0,"[[hotel, nice, 2], [room, extra, 0], [bed, clean, 1], [bed, nice, 1]]",0.6,0.0,0.48333333333333334,,0.3223639455782312
,5.0,Positive,Covid,0,"[[staff, happiest, 3]]",,,,0.0,0.21904761904761907
,2.0,Negative,PostCovid,0,"[[staff, great, 3], [room, broken, 0], [size, 'still one', 0]]",,-0.2,,0.8,0.14243060860707923
,5.0,Positive,Covid,0,"[[room, clean, 0], [room, tidy, 0], [room, convenient, 0], [staff, friendly, 3], [floor, helpful, 1], [food, nice, 2], [room, reasonable, 0], [floor, tiny, 1]]",0.6,0.2916666666666667,0.0,0.375,0.13012820512820517
,4.0,Positive,Covid,0,"[[hotel, ideal, 2], [clean, simple, 2]]",0.5416666666666667,,,,0.27187500000000003
,5.0,Positive,Covid,1,"[[hotel, ibis, 2], [hotel, friendly, 2], [hotel, ibis, 2], [area, 'strategically situated', 1], [food, numerous, 2], [food, 'well known', 2]]",0.075,,0.0,,0.24117063492063495
,5.0,Positive,Covid,0,"[[hotel, pleasant, 2], [hotel, 'extremely pleasant', 2], [staff, outstanding, 3], [room, special, 0]]",0.7333333333333333,0.35714285714285715,,0.5,0.31336996336996337
,5.0,Positive,PreCovid,0,"[[hotel, cozy, 2], [stay, great, 3]]",-0.19999999999999998,,,0.8,0.18333333333333338
,4.0,Positive,PreCovid,0,"[[breakfast, 'early drink', 2]]",0.1,,,,0.3645502645502645
,4.0,Positive,PreCovid,0,"[[time, first, 3], [stay, clean, 3]]",,,,0.30833333333333335,0.41018518518518515
,4.0,Positive,PreCovid,0,"[[staff, comfortable, 3], [staff, nice, 3], [staff, clean, 3], [staff, quiet, 3], [staff, nice, 3], [staff, external, 3], [staff, professional, 3]]",,,,0.29523809523809524,0.37743055555555555
,5.0,Positive,PreCovid,0,"[[hotel, modern, 2]]",0.2,,,,0.6375
,5.0,Positive,Covid,0,"[[hotel, great, 2], [staff, early, 3], [staff, clean, 3], [staff, tidy, 3], [day, lovely, 3]]",0.8,,,0.39166666666666666,0.5222222222222223
,5.0,Positive,Covid,0,"[[bed, lovely, 1], [water, comfortable, 1], [water, excellent, 1], [water, hot, 1], [hotel, cold, 2]]",-0.6,,0.5375,,0.32819548872180443
,4.0,Positive,Covid,0,"[[hotel, nice, 2], [hotel, basic, 2], [room, close, 0], [room, nice, 0], [food, reasonable, 2], [food, many, 2], [staff, basic, 3]]",0.325,0.3,,0.0,0.2902777777777778
,4.0,Positive,PreCovid,0,"[[room, 'slightly disappointed', 0], [hotel, much, 2], [room, useful, 0], [size, basic, 0], [size, 'rather basic', 0], [size, small, 0], [clean, adequate, 2], [room, free, 0], [bathroom, small, 1], [bathroom, 'also small', 1], [size, good, 0]]",0.275,0.05714285714285715,-0.25,,0.05198412698412697
,5.0,Positive,Covid,0,"[[time, second, 3], [bed, comfortable, 1], [pool, efficient, 2], [pool, friendly, 2], [pool, downside, 2]]",0.125,,0.4,0.0,0.36319444444444443
,5.0,Positive,Covid,0,"[[area, cold, 1], [area, nearby, 1]]",,,-0.3,,0.22575757575757577
,3.0,Neutral,PreCovid,0,"[[night, good, 0]]",,0.7,,,0.24666666666666665
business,4.0,Positive,PreCovid,0,"[[room, general, 0], [room, good, 0], [shower, regular, 1], [shower, good, 1], [time, last, 3]]",,0.375,0.35,0.0,0.2708333333333333
solo,4.0,Positive,Covid,0,"[[room, great, 0], [use, happy, 1], [day, next, 3], [day, 'however found', 3]]",,0.8,0.8,0.0,0.2606060606060607
,5.0,Positive,Covid,1,"[[size, good, 0], [staff, super, 3], [staff, comfortable, 3]]",,0.7,,0.3666666666666667,0.4625
couple,4.0,Positive,Covid,0,"[[hotel, best, 2], [hotel, 'fairly best', 2]]",1.0,,,,0.33194444444444443
business,4.0,Positive,PreCovid,0,"[[hotel, convenient, 2], [hotel, 'pretty convenient', 2], [hotel, good, 2], [room, clean, 0], [staff, nice, 3], [staff, 'quite nice', 3], [staff, various, 3]]",0.31666666666666665,0.3666666666666667,,0.39999999999999997,0.461111111111111
,5.0,Positive,PreCovid,0,"[[hotel, nice, 2], [breakfast, clean, 2], [breakfast, comfortable, 2], [breakfast, nice, 2]]",0.4916666666666667,,,,0.42261904761904767
friends,4.0,Positive,PreCovid,0,"[[staff, friendly, 3], [staff, 'ideally friendly', 3], [staff, helpful, 3]]",,,,0.25,0.2479591836734694
,3.0,Neutral,PreCovid,0,"[[breakfast, nice, 2], [room, open, 0]]",0.6,0.0,,,-0.02
,3.0,Neutral,PreCovid,0,"[[time, first, 3]]",,,,0.25,0.19285714285714287
,2.0,Negative,PreCovid,0,"[[hotel, 'first stay', 2], [time, international, 3]]",0.25,,,0.0,0.052777777777777785
,5.0,Positive,PreCovid,0,"[[night, late, 0]]",,-0.3,,,0.32916666666666666
,5.0,Positive,PreCovid,0,"[[area, good, 1], [area, good, 1]]",,,0.7,,0.5266666666666666
,5.0,Positive,PreCovid,0,"[[hotel, happy, 2]]",0.8,,,,0.5055555555555555
,5.0,Positive,PreCovid,0,"[[staff, ibis, 3], [room, amazing, 0], [room, booked, 0], [staff, wonderful, 3], [time, next, 3]]",,0.30000000000000004,,0.3333333333333333,0.3791666666666667
,2.0,Negative,PreCovid,0,"[[night, available, 0], [night, free, 0], [night, free, 0]]",,0.4000000000000001,,,0.23333333333333334
,5.0,Positive,PreCovid,0,"[[breakfast, cool, 2], [breakfast, friendly, 2], [breakfast, helpful, 2]]",0.24166666666666667,,,,0.47404761904761905
,5.0,Positive,PreCovid,0,"[[room, ibis, 0], [food, free, 2], [food, plenty, 2], [food, affordable, 2], [hotel, front, 2], [hotel, 'right front', 2], [water, cold, 1]]",0.13714285714285715,0.0,-0.6,,0.2864583333333333
,3.0,Neutral,PreCovid,0,"[[bathroom, small, 1], [bathroom, 'quite small', 1]]",,,-0.25,,0.35666666666666663
,2.0,Negative,PreCovid,0,"[[day, first, 3], [room, normal, 0]]",,0.15,,0.25,0.003703703703703709
,5.0,Positive,PreCovid,0,"[[size, good, 0]]",,0.7,,,0.2380055658627087
,5.0,Positive,PreCovid,0,"[[staff, friendly, 3], [room, nice, 0], [room, clean, 0]]",,0.48333333333333334,,0.375,0.5305555555555556
,4.0,Positive,PreCovid,0,"[[room, good, 0], [room, good, 0], [time, good, 3]]",,0.7,,0.7,0.49333333333333335
,5.0,Positive,PreCovid,0,"[[walk, short, 2]]",0.0,,,,0.04621212121212121
,5.0,Positive,PreCovid,0,"[[room, many, 0], [bed, compact, 1]]",,0.5,0.0,,0.40714285714285714
,4.0,Positive,PreCovid,0,"[[staff, efficient, 3], [bathroom, clean, 1], [bathroom, 'spotlessly clean', 1], [breakfast, generous, 2]]",0.0,,0.3666666666666667,0.0,0.2076388888888889
couple,4.0,Positive,PreCovid,0,"[[stay, last, 3], [walk, short, 2]]",0.0,,,0.0,0.3875
friends,3.0,Neutral,PreCovid,0,"[[room, small, 0], [bed, small, 1], [bathroom, soft, 1], [shower, small, 1], [shower, 'also small', 1]]",,-0.25,-0.1625,,-0.16666666666666666
business,4.0,Positive,PreCovid,0,"[[hotel, good, 2], [staff, nice, 3]]",0.7,,,0.6,0.523015873015873
solo,3.0,Neutral,PreCovid,0,"[[room, 'slow know', 0], [room, live, 0]]",,-0.08181818181818185,,,-0.08257575757575758
solo,5.0,Positive,PreCovid,0,"[[front, strategic, 3], [room, great, 0], [room, standard, 0], [staff, good, 3]]",,0.4,,0.35,0.46875
business,4.0,Positive,PreCovid,0,"[[room, quick, 0], [room, efficient, 0]]",,0.16666666666666666,,,0.14444444444444443
,5.0,Positive,PreCovid,0,"[[floor, quiet, 1], [room, cheap, 0]]",,0.4,0.0,,0.1801470588235294
business,4.0,Positive,PreCovid,0,"[[hotel, good, 2], [food, different, 2]]",0.35,,,,0.2333333333333333
business,4.0,Positive,PreCovid,0,"[[room, great, 0], [bed, clean, 1], [stay, good, 3]]",,0.8,0.3666666666666667,0.7,0.3525560224089636
,5.0,Positive,PreCovid,0,"[[time, first, 3], [water, great, 1], [water, 'first great', 1], [water, 'foremost great', 1], [water, decent, 1], [water, sized, 1], [water, bottled, 1], [night, full, 0], [water, hot, 1]]",,0.35,0.3630952380952381,0.25,0.317156862745098
,5.0,Positive,PreCovid,0,"[[stay, excellent, 3], [food, plenty, 2]]",0.0,,,1.0,0.42500000000000004
,2.0,Negative,PreCovid,0,"[[hotel, small, 2], [staff, average, 3], [staff, average, 3], [hotel, courteous, 2], [hotel, limited, 2]]",0.09285714285714286,,,-0.15,0.08979591836734693
,5.0,Positive,PreCovid,0,"[[time, excellent, 3], [hotel, little, 2]]",-0.1875,,,1.0,0.39694444444444454
,4.0,Positive,PreCovid,0,"[[room, good, 0], [room, 'overall good', 0], [bathroom, small, 1], [bathroom, 'quite small', 1]]",,0.5249999999999999,-0.25,,0.13194444444444445
,5.0,Positive,PreCovid,0,"[[time, many, 3], [room, ibis, 0], [room, good, 0], [staff, nice, 3], [staff, clean, 3]]",,0.35,,0.48888888888888893,0.4773809523809524
,4.0,Positive,PreCovid,0,"[[stay, wonderful, 3], [room, good, 0], [breakfast, comfortable, 2]]",0.4,0.7,,1.0,0.6523809523809524
,3.0,Neutral,PreCovid,0,"[[hotel, mid, 2], [hotel, first, 2], [food, cheap, 2], [hotel, basic, 2], [time, minimal, 3], [bed, small, 1], [bed, double, 1]]",0.1625,,-0.125,-0.1,0.0453125
,4.0,Positive,PreCovid,0,"[[room, small, 0], [breakfast, plenty, 2]]",0.0,-0.25,,,0.32333333333333336
,4.0,Positive,PreCovid,0,"[[hotel, 'conveniently budget', 2]]",0.0,,,,0.3466666666666666
,3.0,Neutral,PreCovid,0,"[[room, grateful, 0], [room, able, 0], [room, interesting, 0], [room, tiny, 0], [room, little, 0], [bed, open, 1]]",,0.1625,0.0,,0.20791666666666667
,4.0,Positive,PreCovid,0,"[[hotel, ibis, 2], [room, comfortable, 0], [room, clean, 0], [room, cosy, 0], [room, small, 0], [time, first, 3]]",0.0,0.12916666666666668,,0.25,0.17777777777777778
,3.0,Neutral,PreCovid,0,"[[room, adequate, 0], [room, small, 0], [shower, good, 1], [breakfast, happy, 2]]",0.8,0.04166666666666666,0.7,,0.4766666666666667
,5.0,Positive,PreCovid,0,"[[help, willing, 3]]",,,,0.25,0.4554166666666667
,5.0,Positive,PreCovid,0,"[[hotel, nice, 2], [hotel, friendly, 2], [hotel, comfortable, 2]]",0.4583333333333333,,,,0.375
,5.0,Positive,PreCovid,0,"[[bathroom, clean, 1]]",,,0.3666666666666667,,0.2621212121212121
,5.0,Positive,PreCovid,0,"[[staff, nice, 3], [room, nice, 0], [room, clean, 0]]",,0.48333333333333334,,0.6,0.5809523809523809
,4.0,Positive,PreCovid,0,"[[breakfast, free, 2], [room, careful, 0], [room, 'best careful', 0], [room, 'still advertising', 0], [bed, single, 1], [staff, friendly, 3], [food, good, 2]]",0.55,0.11666666666666665,-0.07142857142857142,0.375,0.31582792207792204
,4.0,Positive,PreCovid,0,"[[hotel, great, 2], [room, much, 0], [floor, small, 1], [floor, 'rather small', 1], [floor, adequate, 1], [floor, 'perfectly adequate', 1], [floor, wooden, 1], [hotel, unhygienic, 2], [stay, smooth, 3], [stay, enjoyable, 3]]",0.4,0.2,0.033333333333333326,0.45,0.25807291666666665
,5.0,Positive,PreCovid,0,"[[hotel, courteous, 2], [hotel, sweet, 2]]",0.475,,,,0.3522916666666667
,3.0,Neutral,PreCovid,0,"[[room, small, 0], [night, short, 0], [room, friendly, 0], [room, nice, 0], [room, clean, 0], [bed, comfortable, 1]]",,0.21833333333333335,0.4,,0.18916666666666665
,5.0,Positive,PreCovid,0,"[[staff, clean, 3], [staff, nice, 3]]",,,,0.48333333333333334,0.4604166666666667
,1.0,Negative,PreCovid,0,"[[bed, hot, 1], [breakfast, bad, 2], [breakfast, small, 2]]",-0.4749999999999999,,0.25,,-0.12142857142857143
,4.0,Positive,PreCovid,0,"[[breakfast, good, 2], [breakfast, small, 2], [breakfast, comfortable, 2], [time, extra, 3], [night, little, 0], [night, noisy, 0], [stay, busy, 3], [stay, enjoyable, 3]]",0.2833333333333333,-0.09375,,0.19999999999999998,0.3693181818181818
,4.0,Positive,PreCovid,0,"[[staff, decent, 3]]",,,,0.16666666666666666,0.2700550964187327
,4.0,Positive,PreCovid,0,"[[hotel, convenient, 2], [hotel, huge, 2], [room, nice, 0], [room, 'nicely nice', 0], [night, comfortable, 0]]",0.20000000000000004,0.5333333333333333,,,0.4055555555555555
,4.0,Positive,PreCovid,0,"[[hotel, functional, 2], [hotel, good, 2], [walk, central, 2], [day, free, 3], [day, 'also free', 3], [hotel, fine, 2], [space, much, 1]]",0.2791666666666667,,0.2,0.4,0.13666666666666666
,4.0,Positive,PreCovid,0,"[[room, convenient, 0], [size, decent, 0], [room, sound, 0], [room, 'well bathroom', 0], [room, professional, 0], [room, convenient, 0], [room, exorbitant, 0], [time, whole, 3]]",,0.09523809523809523,,0.2,0.22291666666666668
,4.0,Positive,PreCovid,0,"[[hotel, amazing, 2], [stay, future, 3]]",0.6000000000000001,,,0.0,0.2708333333333333
couple,4.0,Positive,PreCovid,0,"[[staff, friendly, 3], [staff, efficient, 3], [time, optimal, 3]]",,,,0.125,0.39669312169312165
,5.0,Positive,PreCovid,0,"[[hotel, ibis, 2], [room, excellent, 0]]",0.0,1.0,,,0.5125
couple,5.0,Positive,PreCovid,0,"[[stay, great, 3], [room, early, 0], [room, big, 0], [space, plenty, 1], [staff, great, 3], [staff, lovely, 3], [staff, clean, 3], [breakfast, helpful, 2], [breakfast, 'lovely helpful', 2]]",0.25,0.05,0.0,0.6166666666666667,0.49743589743589745
solo,4.0,Positive,PreCovid,0,"[[breakfast, nice, 2], [breakfast, best, 2], [hotel, 'far spread', 2]]",0.5666666666666668,,,,0.33999999999999997
,4.0,Positive,PreCovid,0,"[[room, 'well positioned', 0], [room, great, 0], [food, great, 2]]",0.8,0.4,,,0.35866402116402113
,4.0,Positive,PreCovid,0,"[[breakfast, friendly, 2], [breakfast, 'amazingly friendly', 2], [breakfast, helpful, 2]]",0.25,,,,0.6468750000000001
friends,3.0,Neutral,PreCovid,1,"[[room, interior, 0], [room, entire, 0], [staff, good, 3], [staff, friendly, 3], [staff, front, 3]]",,0.0,,0.35833333333333334,0.0934185606060606
,5.0,Positive,PreCovid,1,"[[stay, unforgettable, 3], [room, much, 0]]",,0.2,,0.8,0.34270833333333334
,4.0,Positive,PreCovid,0,"[[room, 'extra stayed', 0], [room, grand, 0], [walk, easy, 2], [staff, small, 3], [staff, crowded, 3]]",0.43333333333333335,0.25,,-0.125,0.2148148148148148
,5.0,Positive,PreCovid,1,"[[one, memorable, 0]]",,0.5,,,0.20446428571428574
,4.0,Positive,PreCovid,0,"[[hotel, front, 2], [room, clean, 0], [staff, typical, 3], [staff, ibis, 3], [staff, decent, 3], [staff, friendly, 3], [stay, happy, 3], [stay, 'overall happy', 3], [night, last, 0]]",0.0,0.18333333333333335,,0.2625,0.29626984126984124
,4.0,Positive,PreCovid,0,"[[room, 'perfectly stayed', 0], [time, little, 3], [water, flat, 1], [water, sparkling, 1]]",,1.0,-0.0125,-0.1875,0.266421568627451
,1.0,Negative,PreCovid,0,"[[hotel, horrible, 2], [breakfast, 'quite problem', 2], [food, horrible, 2], [food, first, 2]]",-0.4375,,,,-0.3
,4.0,Positive,PreCovid,0,"[[room, helpful, 0], [room, good, 0]]",,0.35,,,0.36666666666666664
,5.0,Positive,PreCovid,0,"[[size, comfortable, 0], [check, early, 3], [stay, helpful, 3]]",,0.4,,0.05,0.268546365914787
,2.0,Negative,PreCovid,0,"[[staff, good, 3], [staff, friendly, 3], [night, second, 0], [day, next, 3], [day, next, 3]]",,0.0,,0.26875,-0.03166666666666667
,4.0,Positive,PreCovid,0,"[[room, clean, 0], [breakfast, comfortable, 2], [walk, 'right station', 2], [walk, short, 2]]",0.22857142857142856,0.3666666666666667,,,0.3349206349206349
,3.0,Neutral,PreCovid,0,"[[breakfast, average, 2], [breakfast, huge, 2], [help, friendly, 3], [help, eager, 3], [hotel, smaller, 2]]",0.08333333333333337,,,0.1875,0.28796296296296303
,4.0,Positive,PreCovid,0,"[[one, problematic, 0], [floor, past, 1]]",,0.0,-0.25,,-0.043750000000000004
,5.0,Positive,PreCovid,0,"[[hotel, nice, 2], [staff, clean, 3], [time, next, 3]]",0.6,,,0.18333333333333335,0.49687499999999996
,4.0,Positive,PreCovid,0,"[[time, busy, 3], [time, helpful, 3], [time, 'always helpful', 3], [day, first, 3], [day, least, 3]]",,,,0.009999999999999998,0.16335978835978837
,4.0,Positive,PreCovid,0,"[[stay, decent, 3], [stay, admissible, 3]]",,,,0.08333333333333333,0.2761904761904762
,3.0,Neutral,PreCovid,0,"[[get, 'ibis price', 0], [room, much, 0]]",,0.1,,,0.31020833333333336
,4.0,Positive,PreCovid,0,"[[room, clean, 0], [hotel, friendly, 2], [room, warm, 0]]",0.375,0.48333333333333334,,,0.48854166666666665
,5.0,Positive,PreCovid,0,"[[time, first, 3], [night, late, 0], [area, 'already night', 1], [good, smooth, 2], [room, comfortable, 0]]",0.55,0.05000000000000002,0.0,0.25,0.33472222222222214
,5.0,Positive,PreCovid,1,"[[hotel, nice, 2], [room, nice, 0], [room, comfortable, 0], [room, friendly, 0], [room, good, 0], [room, clean, 0]]",0.6,0.4883333333333334,,,0.33796296296296297
,1.0,Negative,PreCovid,0,"[[night, relative, 0]]",,0.0,,,0.09166666666666667
,5.0,Positive,PreCovid,0,"[[hotel, front, 2], [hotel, 'directly front', 2], [breakfast, good, 2], [breakfast, acceptable, 2]]",0.19999999999999998,,,,0.4157407407407407
,4.0,Positive,PreCovid,0,"[[hotel, good, 2], [time, 'almost every', 3], [breakfast, accessible, 2], [breakfast, 'easily accessible', 2]]",0.48333333333333334,,,0.0,0.5291666666666667
,4.0,Positive,PreCovid,0,"[[staff, great, 3], [staff, 'simply great', 3], [staff, great, 3]]",,,,0.8000000000000002,0.44270833333333337
,5.0,Positive,PreCovid,0,"[[hotel, great, 2], [room, great, 0], [hotel, new, 2], [walk, close, 2], [walk, able, 2]]",0.3590909090909091,0.8,,,0.4457300275482093
,3.0,Neutral,PreCovid,0,"[[breakfast, small, 2], [space, spacious, 1], [space, plenty, 1], [room, quite, 0], [shower, small, 1]]",-0.25,0.0,-0.08333333333333333,,0.09378306878306877
,5.0,Positive,PreCovid,0,"[[staff, different, 3], [use, friendly, 1], [use, hospitable, 1], [stay, practical, 3], [stay, 'awhile practical', 3], [time, long, 3], [room, small, 0]]",,-0.25,0.1875,-0.0125,0.20794817927170872
,5.0,Positive,PreCovid,0,"[[hotel, good, 2]]",0.7,,,,0.23954081632653054
,5.0,Positive,PreCovid,0,"[[hotel, efficient, 2]]",0.0,,,,0.37380952380952376
,4.0,Positive,PreCovid,0,"[[hotel, overall, 2]]",0.0,,,,0.3875
,4.0,Positive,PreCovid,0,"[[room, clean, 0], [room, small, 0], [bed, comfy, 1]]",,0.05833333333333335,0.0,,0.2565079365079365
,3.0,Neutral,PreCovid,1,"[[time, regular, 3], [check, late, 3], [staff, extra, 3], [check, late, 3], [breakfast, brief, 2]]",0.0,,,-0.15,0.06000000000000001
,4.0,Positive,PreCovid,0,"[[hotel, nice, 2], [hotel, efficient, 2]]",0.3,,,,0.19
,5.0,Positive,PreCovid,0,"[[bed, comfortable, 1], [hotel, many, 2]]",0.5,,0.4,,0.19236111111111112
