date_of_stay,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating1,rating2
Date of stay: September 2023,Safari47713472879,Cozy clean and convenient stay,"The moment I entered the hotel, i was amazed at how fast they checked me in despite reaching earlier as I was tired. The room I chose was single bed but it is very clean and cosy. All the amenities that i need is there. The bed is so soft and comfortable that I sleep well for my 2nights stay. The housekeeper Thi Thi did a great job for maintaining the cleanliness. There are many eateries around hotel area which is convenient for me to just walk over. Pleasant stay as it is a quiet place. Will choose to stay here again in November business trip.",Trip type: Travelled on business,,1 ,,5.0,
Date of stay: September 2023,Bharath G,Amazing stay,Great place to stay & food was amazing very close to MRT.  Most of the things including bar is inside hotel. Very welcoming staff house keeping yin yin kept the room cozy all the time. That’s 5* with cleanliness. Felt home great place over all,Trip type: Travelled with family,,1 ,,,5.0
Date of stay: September 2023,Departure19229426974,I commend the staff of Thi Thi,"I came to Singapore for the first time and traveled alone. All the staff here are kind, too. In particular, Thi Thi employees are always smiling and clean up their rooms very neatly. When I run into the Thi Thi  employee, I feel like I made a new friend. I think it would be better if a Thi Thi employee works at a reception that is responsible for the hotel's image. If I go on a trip to Singapore next time, I really want to meet the Thi Thi employees again.",Trip type: Travelled solo,,1 ,,5.0,
Date of stay: August 2023,OnAir65273114133,Hotel G stay,The housekeeping services were wonderful. Housekeeping Khin helped me a lot and all the hotel staff was extremely kind and gentle. I loved my stay here and recommend the experience to everyone. I’m glad I chose this hotel for my stay,Trip type: Travelled with friends,,1 ,,5.0,
Date of stay: August 2023,Climber50175132271,Good hotel,"Good: Room is clean and conformtable. Staffs are friendly. Have gym at level 3 so will very convenice for the person that has the habit of doing exercise.
Recommendation: Should have a wardobe in room as somebody will have many clothes.",Trip type: Travelled on business,,1 ,,5.0,
Date of stay: August 2023,Trek39481174360,A very good hotel!,"Very clean, environment is very good, location is very convenient to other places, the staff is very nice! House keeper Miao Ting is very friendly! This is my 3rd trip stay in this hotel, I'm sure will stay again for next business trip!",Trip type: Travelled on business,,1 ,,,5.0
Date of stay: August 2023,GoPlaces22566245081,Very Good,"Housekeeping khin is very good
Room is very clean and so kindly for she guset. Good service, she is friendly and so cute. When I need something She took good care of me. If I come back to this hotel I even let her take care of my room.",Trip type: Travelled with friends,,1 ,,,5.0
Date of stay: August 2023,pornpun A,"Good location ,clean","Small room but good interior clean ,got free iceGood location bar wine at first floor is oK Near MRT bencooleen  can walk form stunted city near library  international SGWill come again  next time will try Thai food it’s open 24 hour  and tim sum near by",Trip type: Travelled on business,,1 ,,3.0,
Date of stay: August 2023,Odyssey15658877922,Great Location and Clean Rooms,"Great location , great cleaning and view . Our housekeeping Khin had our rooms so nicely done . We stayed for 5 days . Would recommend to stay here . The receptionist were too helpful and supportive in all sense.",Trip type: Travelled as a couple,,1 ,,5.0,
Date of stay: August 2023,Darren B,Great hotel!,"Great hotel, always stay here. Excellent location, great food options. MRT stations nearby. Rooms are small and cosy, beds are great and now using a really nice brand shampoo/body wash. Staff are friendly and helpful",Trip type: Travelled solo,,10 ,3 ,5.0,
Date of stay: August 2023,Fifi T,Awesome experience,"It’s a special  experience  during  check -in.Excellent  service, especially the staff name Howard, he really provides the amazing memories and services. It’s a relaxing place to stay here. Let’s visit!",Trip type: Travelled with friends,,1 ,,5.0,
Date of stay: August 2023,Lala Travelism,"Great location, good staff","Great location, near to the MRT. Restaurants are also all around, very convenient for both business and vacation purposes. Guest service and Housekeeping (Mr.Lam) delivered awesome services to us during our stay!",Trip type: Travelled on business,,6 ,,4.0,
Date of stay: July 2023,Adriaan H,"Way too expensive, unfair pricing and credit card policy, tiny rooms and seems to be a former garage. Avoid this place!","Pricing policy is unfair, it can be twice the price or more, as mentioned on Booking. Further, they quote and charge each room separately on your credit card. Finally, the rooms are very small and the reception is in the garage.. Avoid this place!!",Trip type: Travelled with family,,1 ,,1.0,
Date of stay: August 2023,Micah R,Great place to stay!,"Stay was great! Their cleaning staff are professional and keep things in great order - specially Thi Thi cleaned really well!

Hotel rooms are smaller, but it is high quality. Breakfast is fantastic.",Trip type: Travelled with friends,,3 ,,5.0,
Date of stay: August 2023,gauravdk05,Perfect hotel stay if planning for Singapore!!,I just loved the stay.  The hotel has the perfect location and amazing vibes. I must thank the pretty Thi Thi for making the stay super comfortable and looking after even the smallest of things needed.  Will visit back again soon. Highly recommended hotel.,Trip type: Travelled solo,"Navi Mumbai, India",5 ,1 ,5.0,
Date of stay: July 2023,Curious62884463678,Great Experience,Had a pleasant stay in the hotel. Smooth check in & check out. All staffs is friendly and polite especially the Front Desk staffs. Looking forward to stay here again in the future. Will surely recommend my friends and family.,Trip type: Travelled as a couple,,1 ,,5.0,
Date of stay: August 2023,Lester M,Nice hotel but ...,"Very small room with limited facilities. eg. no fridge, shower above toilet, so toilet is mostly wet. No room space to walk. Hotel location is fantastic and close to everything.  Great food outlets nearby also.  Staff are friendly and a pleasure to deal with",Trip type: Travelled as a couple,"Dingley Village, Australia",501 ,143 ,4.0,
Date of stay: July 2023,Curious58011955715,Excellent hotel with great amenities and location,"Excellent location, service is also top notch, very clean and comfortable. I appreciated the nice little details such as the boxed waters, mini fridge in room, emergency flash light, space under bed to store luggage, etc.",Trip type: Travelled solo,,1 ,,5.0,
Date of stay: August 2023,JWija,Best Receiptionist,"The Receiptionist name Aiman..
He's really kind.. polite n very helpful to us.. Thank you so much Aiman.. God bless you..

Hotel.. Very clean nice n strategic location
Hope will comeback n stay again at HOTEL G Spore..",Trip type: Travelled with family,,1 ,,5.0,
Date of stay: August 2023,Explorer10695116903,Recommended hotel to stay in SG😁,"The room is clean and need, the hotel service is really excellent, the price is affordable and for the staff name Aiman, he is really nice and welcoming person. Overall we really enjoyed our stay in this hotel😁",Trip type: Travelled with family,,1 ,,5.0,
Date of stay: August 2023,566melanie,Comfortable and cosy,"There’s a lot to like about Hotel G, the towels are fluffy, the bed’s comfortable, and the service is friendly and prompt. The housekeeping staff, Ras in particular, were very efficient and helpful. I even broke a glass by accident one evening and a staff member arrived pretty quickly with a vacuum cleaner to clear it up.

Some reviews have complained about noisy neighbours, but the only time we ever heard people outside our room was briefly in the corridor outside. Nobody was ever so noisy that we couldn’t sleep.

Space is at a premium in Singapore and Hotel G have done their best to make their rooms comfortable in a limited space. The bed in our room was against the window to maximise floor space, meaning one of us had to climb over the other to get to their side. Not an issue for us, but if your mobility limited it would be frustrating. The bathroom is small and the shower doesn’t quite wet the toilet, but it’s close. The sink is outside the bathroom, but not facing the bed so it didn’t feel like it was in the bedroom. Some people might not like that, it didn’t bother us.

Getting to hear from the airport is a breeze. Get off at Expo and get the DT line to Bencoolen. It’s a 2 minute walk from there.

There’s a lot to do, easy to get around on the super cheap buses, and the Fortune Centre across the road had some excellent food.

Overall a comfortable place to stay for a few night in Singapore and worth the price.",Trip type: Travelled as a couple,"Brisbane, Australia",19 ,14 ,5.0,
Date of stay: August 2023,Bobby Risotto,An overall terrible experience,"Pros:
- soft bed
- decent location

Cons:
- The shower floods the entire bathroom every time the shower is on for more than 15 seconds because the floor is not sloped towards the drain and there’s nothing blocking the water. It becomes necessary to use all towels in the room to mop up the floor
- Bathroom and parts of hotel smell of mold or mildew
- Lots of noise from outside and inside. Strange popping noise from windows at random times often waking me up. Noisy AC (the hotel fixed this after complaining). Loud doors that slam shut ensure you wake up along with the first person on your floor.
- Air conditioning behaves strangely. I kept AC at 20 at all times but sometimes it would become very cold or hot over night",Trip type: Travelled solo,,3 ,,,1.0
Date of stay: August 2023,Jie Ying T,Perfect service,"Service staff at reception were polite and efficient, and our room is always kept clean throughout our entire 1 week stay. Housekeeper is also really helpful and sweet :) thank you Miao Ting for always keeping our room clean.",Trip type: Travelled as a couple,,1 ,,5.0,
Date of stay: August 2023,Quest59469525895,Relaxing stay at Hotel G,"I've stayed at Hotel G for the second time and their pillows and the beddings are always the best and the fluffiest. Also, their interior is quite nice and subtle making our stay relaxing. Their housekeeper, Lam, who cleaned our room is also very kind and helpful. I only mentioned i want the rubbish to be cleared not realizing the bathroom needs cleaning as well but Lam took the initiative to clean it without me needing inform him. Thanks, Lam! Thanks, Hotel G for the comfiest stay ever!",,,1 ,,5.0,
Date of stay: August 2023,Voyage09234230161,G-hotel is a good place to stay,"Nice hotel, in the centre nearby the metro. Everything was good especially Thi Thi, she did a very good job for cleaning our room. The hamburgers from restaurant 25 degrees were also very tasty. Go and taste it yourself ",,,1 ,,4.0,
Date of stay: August 2023,Getaway23694409039,Hotel G Great Experience,"The location of this hotel is very convenient, with plenty of bus stops and subway stations nearby. Thank you to Housekeeping Lam for always making the room feel brand new with every cleaning. The only minor issue is that the waiting time for the elevator is slightly longer.",,,1 ,,,5.0
Date of stay: August 2023,Kiattisak P,Housekeeping,My pillows were clean and my room and toilet were very clean and organized. The attention of the housekeeper who cleans very well. Including the service of drinking water in the room is also very good.,,,1 ,,,5.0
Date of stay: July 2023,Traveller,Not even a 2 star hotel,"Unfriendly staff in the restaurant. Even on asking for basic help they redirect to lobby.  Extremely small rooms, no swimming pool, no facilities provided, uncomfortable beds so you can't even sleep properly. So if travelling with family, please avoid this hotel.",,,18 ,1 ,1.0,
Date of stay: July 2023,vinni a,Great stay,Khin who cleaned the room was nice. The hotel staff was quite helpful and accommodating. Hotel is also located perfectly and very well connected to the city. Breakfast was great too with many vegetarian options ,,,2 ,,5.0,
Date of stay: July 2023,nadja-gestaltbar,Great place,"Very nice hotel, very well located, absolutely stylish, good breakfast, small rooms, but all you need, we liked it. We have been staying there three times, so very happy being at Hotel G. By the way: Extremely nice staff, thank you Thi Thi ;-)",,"Reclere, Switzerland",4 ,3 ,5.0,
Date of stay: July 2023,Pym P,Good services,"Here is a good place to stay. The location is also good, downstairs has some bars and restaurants and it's just a 5 mins walk to the T. Mr. Lam, a great cleaning service. I deduct 1 star because the elevator was so confusing and slow. ",,,1 ,,,4.0
Date of stay: July 2023,Getaway49844711802,Pleasant and convenient,"I always go to hotel g for my business trips as it’s centrally located with food and transport nearby. I like that their bed is big and it comes with a comfortable desk next to it, since I have to work throughout the night. I also found that their breakfast spread is quite complete.  Anyway just wanted to give a shout out to Miao Jing, who was from the housekeeping crew.   I stayed for a week this time, and she kept the room spotlessly clean each everyday when I got back.   Am grateful for your hospitality ^_^ ",,,1 ,,4.0,
Date of stay: July 2023,Companion13930185051,Nice and clean,Staying in 1223 for 20 days. I would say I made a good choice. Hotel g really provides good service. HSKP Rena is always so friendly and supportive. She always kept smile and made me feel warm in this new country. Reception is also great 👍 ,,,1 ,,5.0,
Date of stay: July 2023,Achuth,Great stay with convenient location and clean room,"We booked a ""Good King"" room, everything was very good. Location is brilliant, walkable from Bencoolen MRT station, lots of eateries nearby. I got a great ""Book 2nights, stay 3 nights"" deal from the hotel website, and this I thought was great value for money. Check-in and Check-out was both smooth, room was good, it seems they made very good use of the small room space, so everything we needed was there in the room, size is small which is normal in Singapore. House-keeping can be set to on-request which I thought was nice. Overall, we enjoyed our stay here, and would definitely return back if visiting Singapore again.   TIP: Book directly on the hotel website to get good deals.",,"Shanghai, China",69 ,59 ,5.0,
Date of stay: June 2023,GlobeTrotting825703,Great stay with Hotel G,"Hotel G was always our number one choice! The service is beyond superb! The staff are so nice and approachable, Fifi (Front desk), Debbie (Front Desk) and Thi Thi (Room attendant) in particular, took very good care of us. We will definitely book this hotel again and surely recommend this to our friends and family who will visit Singapore. ",,,1 ,,5.0,
Date of stay: July 2023,naasman786,Functional hotel,Good hotel in a great location. Rooms are very small 15 square meters which is tiny.   Breakfast is adequate nice selection. Very functional hotel which is expensive for the size but Singapore generally is expensive everywhere. Hard to get hotels at a decent price.,,"Johannesburg, South Africa",22 ,8 ,3.0,
Date of stay: July 2023,alexander p,Stay at G Hotel,"We had stayed there for 5 days, though the rooms are small - this is what we get in most of the hotels in Singapore. From our arrival, people were very friendly - especially you know we are tourists to a new country. Must take a special name here - Mr.Daryl Goh, I feel he understood our nervousness as we arrived little early with 2 kids. He made us feel confortable, gave us early check in (which we were lucky, as it was subject to availability ). And the stay was confortable - they had maintained everything well, must say the daily maintenance person did a good job to make everything look fresh. Best wishes to the whole team. God bless. Dr. Alex India",,,2 ,,4.0,
Date of stay: May 2023,Y0rkstralian,Good value hotel in a good location,"We enjoyed our stay at Hotel G. We were in a room on the top floor, which was good to have as we could here no outside or road noise from the room. The room is on the smaller side, but was big enough for the two of us. It was clean, quiet, and the beds were comfortable.  Location is good, with a good amount of places to eat nearby, and a couple of subway stations within 10 minutes walk. The staff were friendly and overall the hotel is good value for money.",,"Adelaide, Australia",50 ,12 ,4.0,
Date of stay: July 2023,Navigate05223593491,Outstanding Service,wei xiong from reservations was outstanding. he helped setup drop off of supplies for my girlfriend's birthday. Daryl and Debbie from front desk was friendly and helpful in setting the room up.  Definitely return for another staycation soon,,,1 ,,5.0,
Date of stay: July 2023,Judy w,Small comfortable boutique hotel ,"The bed was very comfortable, not too soft nor hard. Room small but good enough for me 1 person. Max 2 will still be fine but don’t expect much space. Though small all necessary amenities are provided for. The room is clean and the staff are very polite and efficient. I like the quaint set up of the hotel ",,"Kuala Lulmpur, Malaysia",18 ,1 ,,5.0
Date of stay: July 2023,Vanya N,Excellent Housekeeping by Ras,"Stayed with my family for 4 nights. We are vegetarian and the breakfast options for our diet were 'extremely limited' . Despite that, i am giving 5 star rating because of the housekeeping services, especially by Ras. She made our stay comfortable. very satisfied!",,,4 ,,5.0,
Date of stay: July 2023,Voyager48123001455,Awesome,Great Experience and excellent workers. They are ready to assist and cooperate. They are supportive and the room service is awesome. Nice spacious rooms with great art and Gallery. The food isn't bad at all. ,,,1 ,,5.0,
Date of stay: June 2023,Nodin Lee,Great service and Comfy stay,"Repeated visit to Hotel G Singapore as location is great! Super accessible to great food.  Absolutely comfortable beds. Pillows are abit too thick this time. Service was also excellent from front desk staff Bella, Aiman & Nana. Thank you to the housekeeping team as well. Cant wait for the next stay!",,"Singapore, Singapore",4 ,,5.0,
Date of stay: July 2023,Relax26342388393,Friendly staff and hotel surrounded by amenities,Friendly and helpful housekeeping staff (LAM) and good hotel location. Recommended for family vacation as it was near to lot of amenities within walking distance.  Con - hotel room abit small for Queen room. ,,,1 ,,4.0,
Date of stay: July 2023,Chloe C,A must stay hotel in Singapore,"This hotel really go beyond my expectations. They have everything covered. First the hotel welcomes you with great smells just like 5 stars hotels did. The bed and pillows are really comfortable which will provide you a good night rest and we are refreshed the next day. Amenities are well provided with good shampoos and conditioner as well the hair dryer has the strongest blow in which will make you feel the treatment of a 5 stars, just this is in a mini and economical scale because the room size are smaller and retro feel. For restaurants and dining, there are fine Italian restaurant just below and also the 25 degree burger which makes perfect meal. Also, there are many local eateries nearby and this hotel has a perfect location in the middle of the city. Thank you Hotel G and",,"Singapore, Singapore",6 ,,5.0,
Date of stay: June 2023,Maps44042542818,Will stay again,"Hotel was busy when we visited. Slow waiting time for lift. However, we like the rooms. Front desk was friendly. Rooms were compact but cosy. Lastly, we will recommend our relatives coming here to stay at hotel G Singapore….",,,1 ,,5.0,
Date of stay: June 2023,GoPlaces68497726485,We will be back 😀,"Hotel G is situated along middle road. Nice location with great local food around. Upon check in, we had several requests but was promptly assisted by Howard. Thank you for the hospitality and we will be back again. ",,,1 ,,5.0,
Date of stay: June 2023,Tour00963935915,Great Stay!,Was there for a trip with my group of friends. Small but cosy hotel. Special thanks to Howard and his team for arranging rooms on the same level for us. We are very happy with his service. We will recommend this hotel to our friends coming to Singapore. ,,,1 ,,5.0,
Date of stay: July 2023,OliverB1111,Great hotel in a great location just around Bugis Street,"The hotel is centrally located and offers everything you need. The rooms are small but stylish and comfortable. The most important part of the experience was the hotel staff - everyone is so nice, professional and helpful. A special thanks to Gina from the retaurant who took such good care of us - btw the restaurant is awesome! :-)",,Zürich,14 ,4 ,5.0,
Date of stay: July 2023,Kelsey W,Great hotel ❤️ thank!,"I really love the style of the hotel. Modern,  simple and elegant. Staffs are always professional, especially Reena from HSKP. Always provide best service and kind help, which really makes my day!❤️❤️",,,1 ,,5.0,
Date of stay: July 2023,Vacation03812426673,Good service and clean,"Great service from the team. The room is clean, comfortable, and well-designed. Order the service, but cutlery is not provided, small things but I end up using the coffee spoon, which makes even more bites than the regular spoon. ",,,2 ,,5.0,
Date of stay: June 2023,Passenger02892770287,Enjoyable stay with parents and kids,"This is my 2nd stay in the hotel. We traveled 7 person, 2 elder and 2 kids on Jun 29 to 2 Jul 2023 (3 nights). Shower is perfect, bed and pillow are comfy and the room is clean and well maintained. There are western, Thai and Indian restos in the ground level. And many other restos in the nearby buildings.",,,1 ,,5.0,
Date of stay: June 2023,Aura,A cozy super tiny room in the heart of the city,"I stayed at Hotel G for 5 nights during a conference.  The room is super tiny but clean and very equipped with all toiletries. Due to the size of the room, it is good only for a single occupancy.  The breakfast is fine but you may get bored after a few days. Tips  1.  Daily cleaning is not default. In case you want your room cleaned every day, you have to inform the reception during check in. 2. The closest MRT is Bras basah which is also near department stores and eateries.",,,121 ,65 ,,4.0
Date of stay: June 2023,Inspire64899040194,Amazing,"Lam, the housekeeping really keeps my room clean and fresh. I love the fact that he ensures I never get thirsty by always topping up fresh water in the room. Sheets and towels are always changed. Toilet always clean.",,,1 ,,5.0,
Date of stay: June 2023,Spotty Dog W,Enjoyable Stay,The staff gave me a free upgrade to a double room. The best bed and pillows of my trip around Asia so far which contributed my first full nights sleep of the whole trip. I would happily recommend Hotel G to anyone staying in Singapore.,,,3 ,3 ,5.0,
Date of stay: June 2023,Trek54345654628,Unbelievable experience at Hotel G Singapore,I sleep in this hotel for 3 night with my family and everything it’s perfect.The service is really good and the room very clean The style on this hotel very unique and modern Overall i like this hotel so much and hopefully want to comebacks again later.,,,1 ,,,5.0
Date of stay: June 2023,Thornthanut P,"Visited 2nd time after 3yrs, still the best choice","Visited here 3 yrs ago. Now, price goes up a lot the same as other hotels in Singapore.  Anyway, I still feel it is worth money and the best in this price range. Room is small but very well-designed. They are partnered with Metis amenity brand, love it.  I didn’t have breakfast this time as it is pricey to add up, but remember it was very nice back then. Downstair has a bar as well, cannot comment, but 10 steps walking away there are local Thai restaurant and Indian restaurant (24hrs).    Bencoolen is easy to travel to anywhere, but quiet and not crowded. If you like running, Fort Canning is open 24hrs, 5 mins running to, and a nice place to run up/downhill.",,,4 ,,,5.0
Date of stay: June 2023,230kinwail,Good service and friendly crew,Today 23 Jun 2023 we staying at Hotel G which is near to Bugis area.  When I reached hotel reception and Mr Daryl who assist me to do check in l. He was very friendly guy and he was probably provided excellent service for me. So appreciated what he did for me. Besides that the Hotel G room interiors also very simple design and nice. I definitely have a great experience with Hotel G. Highly recommended.,,,10 ,,,5.0
Date of stay: June 2023,Quest03578054618,Room is very clean n tidy .Housekeeping service by Ras is best she is so polite n kind person I give her 5 out 5 rating,The pillows n bed is most comfortable I ever slept on .Room is small but equipped with all facilities that's the best part.Housekeeping girl RAS is the best staff .she did job perfectly well done room is so clean n tidy .,,,1 ,,,5.0
Date of stay: May 2023,Sunshine63305969774,"Clean room, good location, but could be better!","The location is excellent — Bencoolen station is a short walk away and it’s a walk away from Bugis. Other interesting places to go are a few train rides away, too. There are lots of places to eat around the hotel.   The room was clean and new looking when we arrived. The hot water however wasn’t hot enough, and the room is quite small. There is also no bidet. The hotel doesn’t have a lobby and we had some difficulty locating where check in would be.   Lam was our housekeeper who we encountered when we asked for room service, and he worked quickly and efficiently. He was also friendly and personable.   This hotel is highly recommended for those who are traveling light and eager to discover places around Singapore while walking around. ",,,1 ,,3.0,
Date of stay: June 2023,Pollyloh,Responsible housekeeping ,"Housekeeping Lam who in charge of level 15, he is really nice, helpful & responsible. We talked for a while when I was requesting new towel from him & he told me to look for him if I required anything & also asked me how was my stay here. Providing good service with right attitude 👍🏻  Hotel G location is really good & convenient. Walk for 5mins to reach MRT, 2 stops to Chinatown, 7mins walk to Bugis+ shopping mall, reception provides taxi service for us too. ",,"Kuala Lumpur, Malaysia",1 ,,5.0,
Date of stay: June 2023,Wilson H,Great place to sleep over😎 especially the pillow so good,"We are handled by  Daryl, very nice fo staff.. Helpful information and very kind hearted.. Area is quite nice, many choices of food and walking distance to mrt  1st floor place to chill also reasonable price ",,,3 ,,5.0,
Date of stay: June 2023,Donna H,Great hotel convenient location,"Hotel was great, comfortable clean and everything we needed as a base for exploring this incredible city. Breakfast selection was good, the bar is great, best Singapore sling I had, and the staff were very friendly. Wouldn’t hesitate to stay here again. Thank you x",,,2 ,1 ,5.0,
Date of stay: June 2023,NorthStar22790087709,Great stay,Very strategic location … very friendly staffs … very helpful housekeeping … very responsive housekeeping … very great breakfast … good experience staying here … will definitely come back again in the future …,,,1 ,,5.0,
Date of stay: June 2023,Dream D,"Good service, good location",been here for business. even the room is small but clean and nice. They have very nice bar downstairs. I met very nice reception who give me free early check in without extra charge. I'll definitely come back here if I have chance.,,"Bangkok, Thailand",1 ,,4.0,
