date_of_stay,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating1,rating2
Date of stay: June 2023,Keith L,Friendly and Customer Focused Hotel,"Though the car park is rather small, I doubt non Ibis customers will park their cars due to the high carpark fees. If you are a guest staying in the hotel, don't worry as the carpark fees are waived.

Check-in was without any hassle and both my boys and I were in the room in no time. The room was clean and tidy. We had our lunch in Taste restaurant and ordered Fish & Chips, Nasi Lemak and the Ravioli. All were delicious and both my boys love the food. As I am an Accor member, i redeemed my welcome drinks.

This hotel is well located in the Singapore city. It is walking distance to many shopping malls(Bugis Junction, Bugis+, Guan Yin Temple, Sim Lim Square etc). There are also at least 2 metro stations within 10 mins walk from the hotel.

Overall, it was a good stay and will return.",Trip type: Travelled with family,"Singapore, Singapore",263 ,126 ,4.0,
Date of stay: June 2023,SimonTMK,A short getaway,"Location is great as located near the Waterloo Goddess of Mercy temple, Bugis+ and Bugis Junction. There are also many eateries around the hotel. Check-in experience was great and smooth. The receptionist was friendly.

Was assigned to level 5. Lobby was crowded and rowdy with tourists. While heading to the room, the lift sensor was not working and had to change another lift. The room was clean & the size of the room was acceptable.

The USB socket on the sofa was not working well & had to use the one beside the bed. Do note that the room is not completely sound proof.",Trip type: Travelled solo,Singapore,17 ,19 ,4.0,
Date of stay: May 2023,Karen R,Great buffet breakfast,"A great location.  We walked to the Museum, Boat Quay, Clark Quay.  Also Bugis and Little India.  Very easy walk to the MRT to the Botanic Gardens.  Great markets and food places nearby.  One of the best things was the buffet breakfast.  It was amazing, it changed each morning but had the staples for people who need fruit salad, toast and english breakfast.  We dined at the restaurant and it was lovely.  The room was a little smaller but it's something to expect in a different country.  It was clean and just a great experience and I would love to stay again.",Trip type: Travelled with family,,6 ,1 ,5.0,
Date of stay: June 2023,Eko,Little low and dark breakfast room,"Breakfast is very important part in all my stays to every hotel. Not very impressive but it’s ok for the money you pay at this hotel. They have a good coffee!
Just a little less comfortable is about the seats organization, a bit dark, low ceiling, those give less enjoyment of my breakfast.
Tips: I always take seat closer to the outer glass wall for brighter and higher ceiling.

As some of reviewers had written about door insulation, I do hope the management will improve it by doing something on the door instead of increasing the monitoring of drunk people at midnight.

Overall I would rate average for this hotel, considering its location at best, and good hospitality of their staff.",Trip type: Travelled with family,"Ho Chi Minh City, Vietnam",116 ,30 ,3.0,
Date of stay: April 2023,michael o,mick room 1012,fantastic crew best service on all levels from manager david to the great kitchen crew to vicky ethan jasmin always willing to help always with a smlie they make you feel at home        i would recommend this hotel to everybody anytime igo to singapore this will be my home,Trip type: Travelled solo,,1 ,,5.0,
Date of stay: April 2023,victor,Good hotel value for money,"Excellent hotel not too expensive but modern clean and convenient location near MRT stations. I stay regularly. Very good staff well trained and friendly. Good breakfast available with all kinds of Asian and western foods.
ALL members in particular are well looked after.",Trip type: Travelled solo,,2 ,2 ,5.0,
Date of stay: April 2023,Lloyd J,Great location,"The hotel has a great location with 3 train stations within 500 metres and at least 100 places to eat. Close by to several temples and hawker markets. The café on the ground floor sells good quality coffee if you aren't game to try the local shops. Check in and out were both quick and easy. I will probably look for somewhere with a pool next time. The one negative outside the hotels control is the noise from the hallways, from drunken English tourists to stupid Russians talking at the top of their voices.",Trip type: Travelled on business,"Canberra, Australia",94 ,53 ,4.0,
Date of stay: May 2023,Lisa-Marie,Affordable hotel in a great location!,"This iBis hotel is well-located, just a few steps away from hawker stands, markets, Bugis Junction and Bugis Plus (filled to the brim with restaurants, shops and entertainment). There is a convenient shop (7-11) nearby for any late-night snacks. The hotel is near public transport but when requesting a taxi, we didn’t wait long at all.

The front-desk staff are efficient, professional and polite. I found my interactions with them to be pleasant.

The room itself was comfortable: simple yes but to be expected for an affordable hotel. The bed was very comfortable, linen clean. Tea and coffee making facilities in-room. Plenty of storage and shelving space for your clothing. The housekeeping staff are very efficient and responded quickly to our request for extra towels. The gentleman in housekeeping was very respectful and polite. You can tell he took customer service seriously. The view from the room was pretty cool, I love the mix of urban vs traditional architecture of Bugis.

Advantages:
*Affordable
*Good location
*Fun area to stay in
*Laundry
*Clean, comfortable room

Area for improvement: A deposit was taking during my stay which is not typical for ACCOR members of Gold and above status. Not a major issue but would good for the hotel to keep in mind for future guests. I would also recommend reviewing the doors for noise-insulation as I found voices in the hallway echoed through the room a bit loudly.",Trip type: Travelled as a couple,"Melbourne, Australia",88 ,4 ,4.0,
Date of stay: April 2023,Nick W,"Good for a night, but def wouldn’t stay for any more ","I’ll start with the good…. Very friendly staff, nice restaurant, good breakfast, decent location. It’s nice n clean and the food is good. Lots of great local food nearby. But….. no pool, rooms don’t have opening windows and the aircon made me ill straight away, I’ve not had a cold or illness in 3 years and within a nights sleep I was hanging out.

The staff are nice but the check procedure is unbearably long, if there’s a few in front of you, then you’re just stood there for ages. Check out time is manic, they could easily stagger it. Laundry is 12 bucks self service. The rooms are comfy but just horribly stuffy without proper airflow. The key cards turn off at 10.30 on check out day but check out is 11, meaning you have to queue again to get it sorted!",Trip type: Travelled on business,,1 ,,2.0,
Date of stay: March 2023,Rob,Singapore,"On arriving at the hotel we were met by a staff member who took our luggage, the receptionist was very pleasant.
Whilst the room was smaller than Im used to, it was the perfect size when we needed was a room to sleep, shower, and get dressed in.
The location was very good, with transport close by, depending on what you wanted.
It's only a short walk from the hotel to Fort Canning, so no need for a taxi, etc.
The food and bar service was excellent, would definitely stay here again.",Trip type: Travelled with friends,"Lowood, Australia",4 ,1 ,4.0,
Date of stay: April 2023,Diageo,Overnight stay at Ibis,"We stayed in this hotel prior to a cruise. We chose Ibis bec of the triple room option. The location is great and the on-site restaurant offered good food. I wouldn’t mind staying here again for a few more days. I would recommend this hotel, good value for money.",,"Luzon, Philippines",608 ,90 ,,4.0
Date of stay: March 2023,Loveetha,IBIS Hotel Bencoolen,"Well located, neat and clean hotel.  We were in room 612 overlooking the backside of the Kwan Im Thong Hood Cho Temple.  Very close to Bugis Street shopping / Bugis MRT and not too far from Serangoon Road (Little India) and 2 blocks away from OG Mall Albert.",,"Mumbai, India",44 ,6 ,4.0,
Date of stay: March 2023,Martin,Memorable weekend escape at ibis bencolen singapore,"Hotel location is great in the down town, with many facilities are fit with family need. The front desk agent, two of them, assist me check in on Friday night 31 march 2023 was friendly. Wgen i did check out, jannice, the front deak agent was gooed person also. All of them was profesional, and well known about the city.   Breakfast served with variant continental, american meal. And also have vegetarian food and asian. The menu are rotating daily.   Room was spacious enough for three of us, also cleanliness was good. The complimentary mini bar was made our first arrival at room become more chill down, after a long trip  The bike rent was great, especially for the road biker like myself. Free complimentary for the inhouse guest, which is perfect, to strolling around the area.  I",,"Samarinda, Indonesia",1 ,,,5.0
Date of stay: March 2023,KV_1989,First time and Fall in love,"Good hotel and Location, near mrt and many things around the hotel.  The room space is bigger than what I think and expect. Room is comfortable and clean.  Staffs are friendly and good service. Good value to pay and stay for budget hotel rang.  Excellent",,"Sukhumvit, Thailand",205 ,60 ,,5.0
Date of stay: February 2023,MalaysiaMinky,The best IBIS hotel ever," Despite of the fact that Ibis is not suppose to be of 5 star hotel ranking , I can really feel the dedicated spirit of the hotel service personnel .  Special mention to Suresh who remembered me right away and even address me by name. He even knew my room number by hard even though I stayed only one night Their commitment to customer service is amazing with big posters saying if your stay is not 10 out of 10 tell us!!! You don't see this even in 5 star hotels that.charge a bomb.  They looked into every detail like 15 mins promise to fix any issue you have. Others like ""we won't disturb u unless u ask for make up room service"" which is good for both health and environmental concerns  Even their key card is cheerful and colorful. If a hotel deserve awards in every category I vote",,Malaysia,576 ,125 ,,5.0
Date of stay: February 2023,Christophe V,Good location. Very small Rooms. Friendly staff,I travelled alone and got a disabled room which means that the bedroom was even smaller.  There was a connection door from the bathroom to another room and I could hear everything. Luckily there was a glass extra door in order to isolate the bedroom. This was also useful to isolate from noise in corridor.  My room was on the temple side which was very quite. The other side is on a main road. I did not know that you had to ask to get someone to clean your room so my trash bin and towels remained one week without cleaning Breakfast was generous and different styles Hotel is close to metro and you can walk to Burgos or little India ,,Bx,35 ,56 ,3.0,
Date of stay: February 2023,easternjava,Internet speed could be improved !,"I stayed for 2 nights as part of tour group. The room is typical Singaporean hotel room, quite small but enough space for a solo traveler like myself. I’ve been traveling in and out of Singapore for the past 23 years, so I’m quite familiar with the area. The location is superb, within walking distance to Little India, Kampong Glam, and Civic District, even to Merlion Park. There’s 3 MRT stations within 5 minutes walking distance, which can take you anywhere in Singapore. Behind the hotel, there’s Albert Hawker Center, one of the best hawker centers in Singapore with quality vendors. Very affordable meals from $3-8 per plate. The few things that can be improved: limited toiletries in the bathroom, no shower cap, or shaving kit. There’s no hand towel, only large bath towel. I",,"Houston, Texas",289 ,92 ,,3.0
Date of stay: January 2023,AFAK25,Value for money,"Moved to Ibis Singapore on Bencoolen after a 7 night stay in nearby Ibis Styles.   Who would have thought a difference of a mere 4 sqm in room size could significantly improve quality of life.  Great location - Bugis shopping area is just behind the hotel and Bencoolen MRT station is 5 minutes walk away.  I only managed to claim the free drink on the last day, after checking out. Prabu the bartender was a great host. We chatted a lot as if we had known each other for a long time.  Overall a value for money choice.",,"Jeddah, Saudi Arabia",3681 ,719 ,,4.0
Date of stay: February 2023,Patrick R,Best Value for money, I usually stay here for a few days six times a per year. and it's either very good or great. This place is always trying to improve. Ongoing maintenance and room upgrades are consistent. Good WIFI large rooms with a good desk for working from the office.       ,,"Perth, Australia",12 ,5 ,5.0,
Date of stay: January 2023,Sunardi_song,"Excellent location, friendly service and clean room","Great location with MRT station is within 5 minutes walking distance, 24 hours convenience store is available next door.  Albert food center, serving great food selections as well as Bugis are in walking distance  Room was clean, friendly service with efficient service by Ibis Singapore on Bencoolen Team - Bravo",,"Jakarta, Indonesia",128 ,14 ,,5.0
Date of stay: February 2023,kalamakid,Ibis Hotel on Bencoolen,"Clean rooms with nice beds, we slept well. Like many modern hotels, no real closet but some shelves for storage. Ironing board, small fridge, blow dryer. No regular outlet in bathroom, only shaver. Restaurant downstairs for all meals and 24 hour take out. Close to lots of things and public transportation, cruise terminals and the interesting Sri Krishnan Temple and Albert’s market as well.",,"Kailua, Hawaii",946 ,215 ,,4.0
Date of stay: January 2023,Colleen,Excellent Service,"It would be fair to say we had some issues with our room.  Indeed in the end we switched rooms.  But, for all those issues our review is still excellent because of the way things were managed.  Staff we just fabulous.    The rooms are simple but the beds are very comfortable (and I'm a fussy sleeper), the location is excellent and the breakfast was wonderful.  We loved Singapore.  We will definitely return and we will definitely stay here again.    Thank you Ibis Bencoolen!",,,5 ,2 ,5.0,
Date of stay: January 2023,SunnyDude61049,Disappointed to say the least…,"Very disappointed in this property. The room was loud. You can hear everything in the next room and everything in the hallway. The room itself was okay. The beds were super hard. The bathroom was moldy with visible mold in the grout.   We did like the location given it was close to China Town. But, given the price we paid, I expected a better experience.  This hotel needs a serious renovation and refresh.  Staff was pleasant to deal with which helped.  But, Iwould not stay here again.",,,40 ,29 ,2.0,
Date of stay: November 2022,8KKC8,Not What I Expected,"Long queue during check out with some staff more intersted in chit chating with other customers than serving those customers in queue to check out...   During check out, they took my credit card and swiped it at another counter's machine... this practice is no longer considered acceptable in many hotels or countries to avoid being accused of fraud or cheating..   While I was in the queue, there was another customer checking in. She was there before I arrived and was still busy checking in after I completed my check out !   Workers were painting the wall behind the  reception at 11:30am on a Saturday morning. They couldn't have picked a worse timing than that... the whole lobby had a strong smell of thinner......  ",,"Kota Kinabalu, Malaysia",772 ,263 ,3.0,
Date of stay: December 2022,Hoi Wah P,Great service,"The staffs are really helpful especially the staffs serving the breakfast. The breakfast is buffet style and has great variety of european, chinese and indian food. Manager of restaurant Taste, Vicky，is friendly and hospitable. I left my bag in restaurant after the breakfast and she had tried her utmost to find me and gave it back to me. Bathoom is a bit small but the room size is OK. Clean and comfortable.",,,4 ,1 ,4.0,
Date of stay: November 2022,C L,"Comfortable, Clean Place","Check in was a breeze! Clean room and bathroom, comfortable bed. Very accessible, just a short walk to Bugis Junction and Bugis Market. Breakfast available at the hotel, but we optednto buy sandwiches and coffee at the 711 right beside the hotel. Would definitely stay here again.",,"Manila, Philippines",261 ,97 ,4.0,
Date of stay: October 2022,Michael L,"Well known hotel chain, provding an affordable service",Stayed two nights at the hotel with a bed and breakfast package. On arrival hotel was rather busy (around midday) at the reception area but staff at check in were doing the best they could to accommodate the needs of guests either check in or check out. Rooms were clean and had the basic necessities  for a comfortable stay. Air con worked well and the hot water system was consistent with good water pressure. The buffet breakfast spread was one of the highlights with plenty to choose from including western and Asian mains. There was plenty of seating for those taking breakast. Over all a very satisfactory stay which I felt was good value for money. Lastly the staff did what they could to show they appreciated my business. Thank you Ibis Singapore on Bencoolen. ,,"Perth, Australia",534 ,56 ,,4.0
Date of stay: November 2022,MalaysiaMinky,Excellent  customer service / customer recovery program,"We had the unfortunate experience of being checked in by a new staff and spoil our night however, we were pleasantly surprise when our feedback were being taken very seriously.    The very next day, we were being told our floor is an upgraded floor with free snacks, beer and soft drinks in the mini bar that will be replenish every day.   Not only that, we had a smart phone we can use to make unlimited local and overseas call and it also include  wifi hotspot all for free.     We were also given welcome drinks, fruit platter as well as expensive milk   chocolates truffles.  How's that for customer service  :  )   I still hope the hotel will look into fitting extra towel rack so we can hang our used towels to dry properly so we can reuse them as well as a additional small",,Malaysia,576 ,125 ,,5.0
Date of stay: November 2022,Sachin B,Upgrade room reservation with Breakfast option,I have just booked the hotel for March 2023 and actually seeking help to upgrade my reservation with breakfast option but the response is very very poor and not at all helpful. My booking confirmation number is 3421897663 ,,"Ghaziabad District, India",1 ,,1.0,
Date of stay: October 2022,travelmoreBrisbane,Our preferred hotel when in Singapore,"We have stayed at Ibis on Bencoolen a number of times over the years and it is our preferred hotel stay in Singapore. Ibis provide a clean comfortable room at a reasonable price, and the hotel restaurant is convenient in catering special dietary requirements. Friendly helpful staff. Although there was an annoying glitch with our booked upgrade, we were very pleased to be advised that on our arrival from an overnight flight, there was no need to store our luggage, as our room was available for immediate use at 07:00am at no extra cost - being many hours before official check-in time, thank you. Unfortunately our upgraded reservation which included buffet breakfast arranged some four months earlier did not appear to have been registered, and we had to pay for our first mornings",,"Victoria Point, Australia",251 ,131 ,4.0,
Date of stay: October 2022,MU67,Good location,A nice hotel in a very good location. The staff were all very nice and efficient. The rooms were a good size for Singapore but very basic. The bar downstairs is ok but has very limited drinks available. Like most hotels in Singapore it is very overpriced for what you get.,Trip type: Travelled as a couple,"Surfers Paradise, Australia",990 ,280 ,4.0,
Date of stay: September 2022,rciccan,Travel to Singapore,like it but it was raining much however i am happy at ibis except the cost is a bit high not very impressed! I hope we can get a better deal next time we visit and appreciate the service provided by some of the front desk humans,,"Calgary, Canada",1 ,,4.0,
Date of stay: October 2022,Devid Sophornprak,Not reach asportation hotel in Singapore,"First Arrival the reception couldn’t find our reservation which we booked and paid to trip.com , after arrived the room
There is nothing no water bottle , restaurant service lunch time are not good , we need to walk to find staffs to order food",Trip type: Travelled on business,"Phnom Penh, Cambodia",8 ,3 ,2.0,
Date of stay: October 2022,Parthasarathy R,Nice place in the center of the city,"Very accessible location, friendly staff and good environment for a short stay. Rooms are very small sized and too compact. Was quite pricy during the F1 weekend, which was understandable. Otherwise, we had a great stay",,"Chennai District, India",50 ,17 ,4.0,
Date of stay: June 2022,AngelaMathew,Business Stay,"Good place to stay. Comfortable room. Good service and stable wi-fi. Access to all major points, by bus or taxi.
Breakfast menu can get boring after two or three days - its the same every day of the week :)",Trip type: Travelled on business,"Kochi (Cochin), India",17 ,1 ,4.0,
Date of stay: July 2022,Adrian P,Great Location,"We've stayed at Ibis Bencoolen several times and it still offers the same reliable accommodation.  The location is great, the rooms are snug but well designed, the bed is comfortable and the staff are very helpful. When we stayed there on our first post-Covid trip in July, the price was also very good.",,"Noosa, Australia",1148 ,237 ,4.0,
Date of stay: September 2022,Andy123_GM,Amazing staycation.,"Ibis bencoolen perfect location in town. Near to bugis junction MRT statioj. Easy accces to eatery places and mall. Room renovated and nice. Overall goos services. Next to ART centre, CHIME, etc ..opposite bakery and pastries product shop ""phoon huat"".",Trip type: Travelled on business,"Nongsa, Indonesia",63 ,18 ,5.0,
Date of stay: August 2022,David G,Excellent stay and great service,"Stayed at the hotel for business on two occasions and look forward to my next stay. Breakfast very good and rooms of a good size and offer the choice of cleaning on any day, which allows one to save on washing of towels and bedding.

My company ran a workshop at the hotel and the room was good. Had a couple of small issues that were sorted, and in this regard I would like to especially mention Mr Shah (F&B Manager, I think). The issues were AV and aircon and he was always the first person making himself available to help sort out issues.

Once again a great stay and I would recommend that my company use the hotel again for workshops and out-of-town visitors. Thank you",Trip type: Travelled on business,"Canterbury, United Kingdom",20 ,3 ,5.0,
Date of stay: August 2022,Jayanthi G,Ibis center close to everything  - Not for family stay,"Ibis Hotel was a find, reasonably priced close to Bugis shopping and eating hawkers. Close to Buddhist and Hindu temple easy to get transportation. Location of the hotel is great however the rooms are really small. It is a budget hotel for single or couple traveling. The furniture is old and towels were thin. We came after 1am, and front desk clerk was cheerful and ready to help. The car entrance is at the back and will drive to an alley to get there. Overall, for expensive Singapore, truly a budget stay.Also watch when you stay , as room rates do fluctuate.
Air conditioner in the room was loud which contributed to couple restless night.",,"Minneapolis, Minnesota",21 ,23 ,4.0,
Date of stay: August 2022,srain c,Nice location.... But,Nice location... Easy access to mrt station and nearby alot food center... But only the service is low...i call room service until drop call need call 4th time only somebody answer but after request they still no 1 send up the toothbrush then u need to walk thru the cleaner there to request from them... And also the room is abit aged and cleaness just normal still alot area are with dust...,,"Kampar District, Malaysia",14 ,7 ,3.0,
Date of stay: August 2022,watoow,Much better than our first stay,"This is the second time we have stayed at the Ibis Singapore on Bencoolen. The staff is very warm and helpfull. Because of my platinum status we have been upgraded in a luxury tweenbed room. Very comfortable, quiet, tidy clean. We were offered 2 welcome drinks. And a plate of fresh fruits was awaiting us in the bedroom. The minibar was complimentary. There was also tea and coffee facilities in the room. Even I think the price is a little but too high, I really enjoyed my stay in this hotel.",,"Paris, France",43 ,58 ,5.0,
Date of stay: August 2022,Helmut B,Excellent Service,"The hotel is in a good location, at least for us, and has all what we needed. The rooms are small; well, this is Singapore, but convenient and clean. What made me give this ranking was the service of the front desk. I made a mistake when I added another night and the staff solved the problem in a perfect way. Thanks to that. ",,"Pattaya, Thailand",677 ,217 ,5.0,
Date of stay: July 2022,Relax497565,Value for money,"Expensive for a budget hotel, but by Singapore prices GOOD VALUE FOR MONEY. The room furnishings were a bit old and the floor was a bit ""gritty"" underfoot. The bed was comfortable and the bathroom was clean and functional. As with all Accor properties, the staff are the highlight. Excellent service at all levels. Good food ( a bit pricey for Singapore) but the Accor Plus card came to the rescue with a 50% discount when we were too tired to eat out. The hotel is very centrally and conveniently located. All in all a very positive experience. Will use again.",,,1 ,,4.0,
Date of stay: July 2022,Mullos1962,Great Option for short stay,"We booked the IBIS Singapore on Bencoolen for a two night stay to break up the long flight from Australia to Europe.  Price was very good, and location desirable.  Check in was simple and quick, and access to room (eleventh floor) easy.   As is expected in Ibis properties, the room was simple and functional.  Very clean, and spacious.  Bed was comfortable and bathroom very serviceable.   Hot water kettle and coffee a welcome feature.   Access to other parts of Singapore easy, either on foot, via MRT close by (a couple of options) or taxi. This part of Singapore is nice and quiet but still close enough to everywhere else to enjoy.  Why only 4 and not 5 rating?  Our room was not serviced while we were there.  Minor issue, but having the bed made, and change of towels, and",,"Sydney, Australia",1163 ,570 ,4.0,
Date of stay: July 2022,Jimmy Ong,Too expensive and small,Room is too small for the price i'm paying. Can get a better deal at Village Bugis. Cheaper and bigger room. Bed is comfortable but the pillow is not. Headache after a night sleep. Definitely will not be going back.,,"Kuala Lumpur, Malaysia",785 ,274 ,2.0,
Date of stay: June 2022,Lilin,Great location and service,"Hotel is clean. Check in and out were swift. Enjoyed my stay between 26/6/22 - 2/7/22. Special credit goes to Florence the housekeeper. She was very friendly and efficient. Always smiling and cheerful when you meet her. Everyday she will enter my room to ensure the room is clean by mopping the floor, change our towels and replenish the toiletries. She ensured my mum has a clean environment for her recovery from her operations.",,,5 ,1 ,5.0,
Date of stay: June 2022,franey1944,Need to improve.,3 times requested a quiet room as traveling with a 1 year.I was given a room in the middle of a long corridor. Outside the door was the water machine which is in constant use. Calling resection was informed all rooms are the same.  House keeping issues.  Hair around sink.  Mould  on container of hand wash Mould on shampoo  container  Hair in shower. Plastic wrapping left by guest  on top of shower door disintegrating.  Doona cover stained with red wine.  Trying to get any issues resolved impossible as they don’t answer phone. The saving Grace of the whole visit was a lovely lady in the Restaurant who was so helpful at all times.  There was a. Issue with our final bill which the duty manager corrected. On check out reception disagreed with manager and insisted they were correct.,,"Perth, Australia",89 ,15 ,3.0,
Date of stay: June 2022,Travel addict,My fave hotel now,"Checked in June 6-11-2022  A very nice hotel indeed Booked a room with king size bed and extra benefit  With extra benefit you’ll get daily replenishment of beverages and snack, although i did have to remind them twice during my 6 days stay there, maybe the housekeeping forgot sometimes You’ll get a phone with internet and free calls Nice deal for paying extra to get extra benefits  Room clean and nice, bed very comfy, toilet clean and nice too, aircon is a little bit warm though.  Staff very nice and polite I like to thank the guy managing the bar, forgot to ask his name, he is very polite, helpful and professional Special mention to Ms. Sherlyn, she was so accommodating, helpful and kind, she was helpful in answering our queries, she was so kind to personally served me warm",,"Metro Manila, Philippines",27 ,105 ,4.0,
Date of stay: February 2022,cranfordcouple,Fantastic.,"I lived here for 8 weeks and I have to say it was one of the happiest periods of my life. The hotel staff could not do enough to help me, nothing was a problem. The surrounding area is very local and all the better for it. If you want to find out what Singapore is really about this is the place to stay. Easy access to the rail system and plenty of local places to eat and drink. Thank you Bencoolen Ibis. I loved it.",,,3 ,1 ,5.0,
Date of stay: April 2022,ron255100,Lousy cancellation service,Havnt state here this trip yet but had two seperate bookings that I had to cancel as airline changed flight dates. I cancelled both bookings online and rebooked to fit I. With new schedule. Cancelled bookings had a cancellation refund policy if cancelled 3 days prior to arrival date which for me is June.  After a month and no refund I followed up via email to be informed that they would now cancel the bookings and I was eligible for refund under terms of booking and that refunds take four weeks. This is droit me providing them with their own cancellation reference and date that system generated cancellation. This means eight weeks for a refund which is excessive. I replied to their email over a week ago stating the above and still no reply. I am now in the process of cancelling,,"Newcastle, Australia",74 ,67 ,1.0,
Date of stay: April 2022,Almino,"Old building, needs some TLC.","I spent one night at Ibis Singapore on Bencoolen.   First, the good part.  The location is great, with easy access to the MRT and buses.   The staff is also another positive point, always efficient and friendly.  And conveniently there's a 7Eleven right next door.   But unfortunately there is not much else to praise, the hotel is old, in urgent need of a renovation.  Starting with the hallways, old carpet and worn paint.  The water and ice machines don't work, the elevators look like something out of a horror movie and there's still one broken.   As for the room, my criticism is not about the size.  After all, it's an Ibis and the rooms are small, that's part of the expectation.   The problem is appearance and usability.  Outdated room, with the smallest TV I've seen in years! ",,"Sydney, Australia",29 ,7 ,,2.0
