date_of_stay,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating1,rating2
Date of stay: August 2023,ingconti,"nice place, good level",we were there as an intermediate step to New Caledonia. We booked there with the idea to spend some time inside the city. Hotel is well cared and people are gentle: we didn't even make us pay for some supplemental hours waiting for our flight.,,"Province of Monza and Brianza, Italy",1239 ,322 ,,4.0
Date of stay: September 2023,cncsun,Location fantastic hotel lovely and central all you would need and want,"Great hotel And easy location to everything. The hotel foyer entrance is open and inviting, rooms spacious and all amenities.  The pool area is just beautiful inc a waterslide and waterfall. More importantly was the location it is right in the middle of everything the train station directly opp, walk out and turn left and your right on the riverwalk with plenty of eateries available or within walking distance to china town and the HOHO bus system  - only tip is the bathroom has a very deep bath to get in and out of not sure if this is in all rooms but something to be aware of you have mobility issues",,"Ferntree Gully, Australia",109 ,10 ,,5.0
Date of stay: September 2023,Steve T,Do it the easy way stay in the heart of it. ,I can't fault it. The food was expensive but that is a Singapore hotel for you. Shops are directly across the road and the railway is next door. Chinatown is 2 streets over.  Brilliant and friendly staff. The hotel is clean and really good location. It is Animal friendly. ,,"Midland, Australia",30 ,26 ,,4.0
Date of stay: August 2023,caramellokoala,THOROUGHLY ENJOYED OUR STAY,We felt very welcomed and comfortable. The aircon had been turned on to keep our room cool.  The staff were super helpful both at reception and in the breakfast room.  The breakfast was amazing! You must try the deep fried carrot cake. It was delicious and a Singaporean Hawker classic. The quality of the food was incredible as was the variety.  This will definitely be our hotel of choice next time we’re in Singapore.,,australia,348 ,107 ,5.0,
Date of stay: September 2023,Amstraveler,Spacious luxury next to Boat Quay,"Fairly luxurious in a relaxed style where everything just worked great.  I hadn’t stayed in Singapore for over 10 years and my old standard (the Grand Copthorne Waterfront) seemed out of line on pricing so it was time to find somewhere new.  The Paradox is very close to Clarke Quay MRT (though oddly the hotel doesn’t tell you which exit to take) which is under S$2 and about an hour by MRT from Changi - not everything in Singapore is expensive!    Rooms are spacious with Nespresso, tea, roomsafe, desk …. and a very comfortable bed. WiFi fine.  Breakfast very good (not quite GCW standard though).  You’re right next to Boat Quay so evening eating options are very good (though BQ isn’t quite what it was 15 years ago - COVID or modernization, not sure what’s to blame).   Friendly",,"Amsterdam, The Netherlands",432 ,330 ,5.0,
Date of stay: September 2023,Yitlin L,Corporate dinner,"Excellent service by Suresh, Ramesh, Gopi and Sai. Thank you for accommodating all our numerous request and requirements, making our evening very memorable and enjoyable!! Much appreciated. Very memorable dinner by all our 50 guests!!!",,,1 ,,5.0,
Date of stay: August 2023,Guy H,Five star experience at Paradox Singapore,"Everything about the Paradox Singapore Merchant Court is a true Singapore 5-Star experience, from the hotel and facilities themselves to the wonderful people who work there.  From the moment you walk into the hotel, and the amazing fragrance that permeates the lobby, you feel relaxed and at home.  This was my third time staying at this wonderful hotel, though the previous times were when it was a Swissotel and several years prior. Having never heard of Paradox, you always wonder whether things will have stayed the same with a change of brand. I needn’t have worried - it was perfect.   My wife and I stayed in a Select Clarke Quay room, with a balcony offering views directly over Clarke Quay and across to Riverside Point.   The room itself was a decent size for 2, with good",,"Melbourne, Australia",23 ,40 ,5.0,
Date of stay: August 2023,Tori C,Spacious rooms and a great pool. ,"The hotel room was spacious, however a little dated. The balcony doors were dirty when we arrived in our room, however the room was adequatly clean. We had a few issues with rooms as we were a family of 8 with 4 separate rooms, but the staff made a great effort to accomodate all of our requests and room changes. We had late checkout free of charge also. Good amenities, however our fridge didn’t keep anything cold. The pool was large and great for kids, the gym was big with lots of equipment, and the lobby bar with happy hour was our favourite part. It is located very close to Clarke Quay and across from a shopping centre with a Cheers on the corner so very convenient. ",,,5 ,2 ,4.0,
Date of stay: August 2023,Navigator37386782022,Paradox hotel Clark Quay,"Convenient locations, fancy entrance , we are on level 11, love the view of the Clark  Quay  , internal has been upgraded, so it’s fairly new and very clean, but external is a bit out of date. The receptionist Suba is very helpful and lovely. Would recommend to family with a tight budget.",,,2 ,,,4.0
Date of stay: August 2023,Loraine H0,Paradox Singapore,Suresh is very friendly and always approach us with a smile. He informed me there is 50% discount on citibank card. I didn’t even know that .. Website didn’t say so. Thanks for sharing this to us :)  Ambience : Clean ,,,6 ,8 ,5.0,
Date of stay: August 2023,Sarah N,Fantastic hotel,"One of the best hotels we've ever stayed in. The rooms were spacious and the beds we're extremely comfortable. There was a pillow menu but we didn't need it as the pillows were fluffy and very comfortable.
The swimming pool was fantastic and it was a real treat that it stayed open until 10pm.
Breakfast was absolutely amazing, so much to choose from and all delicious.
The location was perfect, the MRT station was just over the road and was very easy to use.
All in all this was a fantastic hotel and we thoroughly recommend staying here.",Trip type: Travelled with family,,8 ,,5.0,
Date of stay: August 2023,Terri J,Excellent hotel!!,"The breakfast is absolutely amazing as well as the service being excellent. When needing some help we received excellent service from Gurvinda at the concierge who was really happy to help and resolved our issue immediately. The bar staff were extremely kind especially Robbie who recommended lovely places to visit! The pool was very clean, there is also a hotel laundry which guests can use which is was very helpful rather than using a laundry service if you wished. The location is super helpful being right on Clarkes quay and central making things very easy to get around.The facilities were super and we really enjoyed our stay!",Trip type: Travelled with family,,2 ,,5.0,
Date of stay: August 2023,Estelle M,Paradox market cafe ,"The paradox ellenbourgh market cafe to celebrate my friend birthday. My friend and I both enjoyed the dinner buffet with seafood freshly served. Durian dessert is superb.
Thank you the friendly staff Suresh and Klaus for helping to serve the piece of birthday cake and candle.",Trip type: Travelled with friends,,4 ,2 ,5.0,
Date of stay: August 2023,Egea B,Paradox Review - August 2023,"The bd was so comfortable, very clean and temperature cooled. Slept very well each night. The staff were very friendly and we had Executive included in our package which was so good. Breakfast in Executive Lounge was very good with prompt and friendly service. Same for evening drink and nibbles.",Trip type: Travelled as a couple,"Adelaide, Australia",1 ,,,5.0
Date of stay: August 2023,John_Ong1114,great hotel in sg,Loved my stay. checkin was easy.  Staff was hospitable. service at the lounge was great and the manager (names Sri) memorized everyones names.  i love the location. the room that was given to me had good space and lovely view…  they also offered different pillows which was cool and had a great balcony,Trip type: Travelled with family,"Manila, Manila, Philippines",330 ,177 ,,5.0
Date of stay: August 2023,Bernard,Satisfied Guest Returned,"Great Staycation and Great Service Summed up the Day. Especially the Hotel General Manager her Team who served with passions and smiles. Always greeted with respect to every passing passengers. Comprehensive Facilities and Good Meals to enjoy with friends. Indeed, it's satisfying and I will be back again. Specially mention and applaud the following staff who made me feel comfortable and satisfied.
Hotel General Manager : Jessie Khoo
Front Office : Sej and Morana
Club Lounge : Shaughn, Sri, Gio, Ani and Jenny
Crossroads Bar : Murni & Parti
Housekeeping : Yan Hua and Lulu
Operator : Yati
A great staycation to be in.",Trip type: Travelled solo,"Singapore, Singapore",46 ,18 ,5.0,
Date of stay: August 2023,Simon M,Singapore stay,"Lovely hotel, accommodating staff must mention Ani in the executive lounge, this young lady is a star and couldn't be nicer or more helpful 5⭐ all round. Central location with easy access to transport, restaurants.",Trip type: Travelled as a couple,,2 ,,5.0,
Date of stay: May 2023,Trip821980,Fantastic stay at Paradox Merchant Singapore ,"Loved everything about the Paradox. Very comfortable room, excellent service, great restaurant and bars with entertainment. Great location for access to Clarke quay and nearby services on foot or taxi. Wonderful aroma in the foyer. Hope to visit again",Trip type: Travelled with family,"Williamstown, Australia",2 ,,5.0,
Date of stay: August 2023,bam4d,Slightly tired 4 star hotel,"This hotel is in a really good location, literally next to a metro station and lots of restaurants and shops. Room was spacious if a little tired. The windows needed cleaning but bathroom was excellent. Pool area was good. A bit overpriced for the quality overall.",Trip type: Travelled as a couple,"Barcelona, Spain",284 ,131 ,4.0,
Date of stay: August 2023,里紗 西,"Good location, good staff.","The lounge for excutive club room is good and the staff in the lounge is helpful and lovely. Expecially the happy hour is outstanding. Though the room is not good in sound insulation, the first day people in the next door was quite noisy🫠. And the air condition working with stable noise, that could be a problems for some of the people if sansity with sounds. (don’t choose the connecting room due to the poor sound insulation)
The location is super.",Trip type: Travelled with family,Taipei,2 ,,,4.0
Date of stay: August 2023,Samantha D,Highly recommend a stay at the Paradox on Clarke Quay,My daughter and I stayed at the hotel August 1 - 5th. Had a thoroughly enjoyable stay. Beautiful hotel with lovely pool we really enjoyed the Buffet breakfast everyday.  The close proximity to the MRT is perfect!- did not expect to use the MRT for so much transport but we quickly got the hang of it and it was very efficient. The shopping centre The Central just across the street (above MRT) was very convenient.  We had a late night flight on our last day and we were able to leave our luggage with concierge and come back to use the spa / pool shower facilities to freshen up before our flight home.   Highly recommend a stay at the Paradox on Clarke Quay ,,,1 ,,5.0,
Date of stay: July 2023,Mgrain,Great stay,"Stayed for four nights with our two teenage children. Great location, next to Clarke Quay MRT. Room clean with plenty of toiletries, water and essentials. Amazing wide variety buffet breakfast. All staff very helpful. Would definitely recommend.",,"Greenisland, United Kingdom",14 ,1 ,5.0,
Date of stay: August 2023,dione22,Amazing staff in Executive Lounge,"We are drawn back to this hotel because of previous trips with family. This time we decided to book Executive Club rooms. Our view over Clarke Quay was perfect, room was exceptional, shower was perfect. But the outstanding service from Gio, Jenny & staff up in lounge was wonderful.  Thankyou fors making our few nights stay so memorable",,"Perth, Australia",106 ,93 ,5.0,
Date of stay: August 2023,Wanderer26696882613,Thank you !,I recently stayed at the Paradox hotel and had an amazing experience. The staff was incredibly friendly and helpful throughout my stay. I especially want to thank lobby staff Ms. Sofmdh(Sorry if I spelling your name wrongly)and Room cleaning staff Mr.Qu Bain.was like my personal genie who granted all my wishes. They were always available to answer any questions I had and made sure that I had everything I needed. I would highly recommend this hotel to anyone looking for a family vacation.,,,1 ,,5.0,
Date of stay: August 2023,vwalmsley,Great location!!,"Great location. Easy access to MRT train. Good rooms. Clean, comfortable. Easy access to river for walks and food. Staff were helpful. Bar downstairs was nice and some nights has music. We didn’t try breakfast. Good pool for hot afternoons.",,"Glenroy, Australia",129 ,15 ,4.0,
Date of stay: August 2023,Sunshine58244088548,Soooo nice hotel.,"King the Land, a famous drama in Korea, recently ended. My family came to Singapore with a little increased interest in the hotel, and I was able to return to Korea very happily due to the friendly staff who greeted the customers. Breakfast and Happy Hour food were diverse, new and very good, and the pool was small, but enough to enjoy.",,,1 ,,5.0,
Date of stay: August 2023,langford4,Excellent stay,Exceptionally large and comfortable room. Toiletries top notch. Check in staff very helpful. Decent breakfast.  Very impressive spot.  Ideal location for central business district.  Good value in a usually somewhat expensive city and would certainly return,,"London, United Kingdom",110 ,46 ,5.0,
Date of stay: August 2023,Nerida C,Great place to stay in Singapore.,The service at the hotel was awesome. Special shout out to Annie and Gio who were in the executive lounge. They were extremely professional and helpful with all their local knowledge.   We had a room on 4th floor with a balcony and directly looked over the river. Room 490. Would recommend this room and vista.   The location at Clarke Quay is surrounded by restaurants and night life. Close to Chinatown and 1 minute from MRT.,,"North Wollongong, Australia",20 ,13 ,5.0,
Date of stay: August 2023,Lucie K,A great start to our vacation!,"The room was adquate, the bed and pillows were good. We would have liked more and better outlets,  our chargers kept on falling out, and our devices ended up not being charged.  The pool was nice, however the water was not clear,  but very cloudy. We enjoyed the executive lounge very much. The staff was extremely friendly and helpful. Breakfast was delicious with many choices and good service. We liked the happy hour, and we were impressed with the choice of appetizers. The staff,  concierge, and executive  lounge personnel, were very accommodating, they made our stay really comfortable. ",,,2 ,,5.0,
Date of stay: August 2023,OnAir49346477146,Well done!,Excellent service! Showed Initiative. Responsive and decisive. Pet friendly: prepared food for our dog. Brought out a big fan for us when it was warm and humid. Kudos to manager “Eller” and team. Will come back again. ,,,1 ,,5.0,
Date of stay: August 2023,shazza P,Fantastic staff,"Huge thank you to Suba on reception who rescued us when we needed help.  Thank you Suba you were incredibly kind.  Great hotel and fabulous location in walking distance to so many places.  Very clean, good food",,"Auckland, New Zealand",8 ,8 ,5.0,
Date of stay: July 2023,GrandTour05971260713,Great buffet at Ellenborough,"Service staff at Ellenborough were efficient in clearing our plates. Chefs were courteous and greeted us when we’re browsing the buffet. The food was great and we even got served a special, the Nyonya otah. Beautifully plated, the flavours burst in our mouths, the drizzle of coconut on the top complemented the otah well. Chef Kenny was solicitous in checking in with us to see if food was up to standard.",,,1 ,,5.0,
Date of stay: June 2023,The-Actuallys,"Great Hotel, perfect location, lovely people","Thoroughly enjoyed our 4 night stay on the 12th floor, giving us access to the Executive Lounge. The Paradox is perfectly located for exploring Singapore being right on Clarke Quay with the metro station next door. Check in was very efficient and welcoming. I had slight room envy as our friends had a large room with a beautiful view of Clarke Quay, ours was much smaller (but perfectly functional and comfortable) with a view of Marina Bay Sands. Everything spotlessly clean and we appreciated the pillow menu, the Nespresso machine and the free laundry service (2 pieces per day). What made our stay really special though was the wonderful Sri and the team at the Executive Lounge. So welcoming and friendly, happy to chat and gave us a great tip on where to go for the best street food",,"Chiddingfold, United Kingdom",88 ,51 ,5.0,
Date of stay: July 2023,mukeyanzi,Thoughtful staff who made our day! ,"Came to Ellenborough Market Cafe with my family for buffet dinner today. We were planning to celebrate my birthday with a small cake from the buffet dessert line, but Ser Jing surprised us by preparing an exclusive nicely -plated chocolate-walnut cake with ice cream instead. Thanks Ser Jing for the thoughtful gesture which made our day! ",,"Singapore, Singapore",2 ,1 ,5.0,
Date of stay: July 2023,Travel obsessed,Great room but noisy chaotic breakfast and pool area,"This hotel had a fabulous room, firm comfortable bed and great location. Cleaning of the rooms was excellent. I would say this hotel is designed more for families as the pool area was full of kids- not May sun lounges and most were reserved by 9am. I do not recommend the breakfast at the market cafe it is like a crazy cafeteria- noisy, kids running everywhere and poor hygiene standards- 1 knife for butter for everyone to use same for jams and people using their hands to grab food",,"Sydney, Australia",1178 ,212 ,,4.0
Date of stay: July 2023,Krishna,Exquisite  Stay in Paradox Singapore Merchant Court Hotel.,"Our Staycation at Paradox Singapore Merchant Court from 24th July 2023 to 29th July 2023 was a wonderful experience with the fully equipped room with a balcony facing the Clarke Quay River. However, the services provided by the staff in the Paradox Executive Lounge were exemplary! We wish to thank  the Executive Lounge Team - Sri, Gio, Anita, Roonie & Jennie Nang. Despite the heavy load & footfall they carried their duties professionally with a smile always from 6.30am to 10pm. ",,"Singapore, Singapore",21 ,,,5.0
Date of stay: July 2023,Discover00356143777,Executive Floor,"My family and I stayed at the executive floor for 5 nights. The view from our room on 12th floor was amazing especially at night. The room itself was normal and we didn’t find anything special but had taken good service from staff there.  Let me share that we had good experience with the executive lounge staff Ms. Gio. She had given us good advice, we really impressed her professional service. Thanks Ms. Gio.  Only pity thing was “Happy Hour” at the lounge was only available between 6pm and 8pm. It would be great if the time is extended until 9 or 10pm, guests might want to have a glass of wine after coming back from the town. ",,,1 ,,4.0,
Date of stay: July 2023,Sing S,Market Cafe Buffet,"Had buffet at Market Cafe. The variety was top notch and the quality was great. Sous Chef - Jun Wah served us the new chilli crab kueh pie tee, which has the perfect sweet and spicy level. Overall a very pleasant experience. ",,,1 ,,,5.0
Date of stay: July 2023,Meander302351,Special Chlli Crab Kwei Pai Tee - Delish,The chef presented with the special Chilli crab Kwei Pai Tee & the taste was so rich & flavourful. The skin was also crunchy even after 20mins on the table.   The service of the counter staffs are commendable and the staffs serving the floor is quite attentive. ,,,1 ,,5.0,
Date of stay: July 2023,Paula M,"Excellent hotel, great location ","3 night stop over in Singapore en route to Sydney. The hotel was an excellent location to see as much as possible of the city in 2 days.  Lovely friendly staff, check in was very efficient.  Huge choice of buffet breakfast.  They even made us up a takeaway breakfast bag for the last morning as we had an early flight. Nice pool and gym. Cocktail bar by the pool was very welcome! The room was very comfortable,  bathroom excellent.   The main benefit of this hotel for a short stay is its location.  We managed to walk from here to Boat Quay to eat, along the river to marina Bay and the Gardens by the Bay. Boat trips and loads of restaurants nearby, also Fort Canning Park just across the river. and right beside the subway too.   Will definitely stay here again when I next visit",,"Letchworth Garden City, United Kingdom",22 ,14 ,5.0,
Date of stay: July 2023,Voyage21525063195,Best Birthday buffet with friends!,The seafood selection is so fresh! The oysters are to die for! 😊 The nonya kuehs are also good! We also received special otak otak dish which is considerably light but very tasty!  The durian range is superb! ,,,1 ,,,5.0
Date of stay: July 2023,Varaibim Hau C,Paradox Hotel Ellenborough Market Café Waitress Shermaine Teo  Create Most Amazingly Delicious Fresh Lemonade Water!,"Hello My Fellow Singaporeans,  Please reward & raise Waitress Shermaine Teo at Paradox Hotel Ellenborough Market Café Singapore Buffet Restaurant for continuously creating most amazing Lemonade Water!",,,1 ,,,5.0
Date of stay: July 2023,Thorsten W,Home upon arrival,"The entire team is truly great, the service is perfect and all are very attentive nearly guessing your next wish. A special thanks to Gio and Sri and the team at the Executive Lounge: home upon arrival.  So, thank you and see you again. Thorsten, not Jason  ",,Germany,6 ,2 ,5.0,
Date of stay: July 2023,Elaine H,Pleasant hotel ,"Where to begin, the check-in was fast but I was surprised when asked for a $500 deposit which I thought was excessive. Our room was on 7th floor and whilst a bit smaller than what i thought it would be from photos was Ok. We asked for an additional chair so that I was not sitting on the bed lst my husband used the chair at the desk. Bed was not that comfortable mattress needs to be updated but pillows were fine and lots of them and you could choose different types if you wanted.  Breakfast was a standard buffet which I found to be good lots of choices for everyone and you could get eggs cooked as you liked. We did not eat lunch or dinner at the hotel so cannot comment on that but we had afternoon tea in the cafe which was very good. I was hoping to use the pool but the lounges",,,11 ,7 ,4.0,
Date of stay: July 2023,James G,Expensive 4 star hotel,Average hotel in a Singapore. Small pool and very shallow. Missing some character. Feels like a holiday inn. Over priced. Small rooms and not so comfortable bed/ pillows. Good breakfast and central location. Sadly Clarke Quay is very disappointing.,,,10 ,2 ,3.0,
Date of stay: July 2023,Kirsty E,Great location,"We only stayed one night, however our stay was very enjoyable. The hotel itself was lovely with very helpful staff.  The pool area was great.  The bar downstairs had a couple of singers in the evening which was lovely to have a drink a relax after dinner. The location was perfect.  We’ve stayed in Singapore a number of times in different locations but I think this is the most central.  It was lovely right on the quays and there were plenty of restaurants and bars close by.  There is a train station close by.",,"Brisbane Region, Australia",36 ,9 ,5.0,
Date of stay: July 2023,Catena Figz,Good location and easy access to MRT to get around Singapore,"The staff was incredible at this hotel above all! Sri & Guo in the executive lounge we’re so friendly and welcoming and made sure we had eve try thing every morning. As for thé hôtel our room was definitely outdated except for the washroom. Located was great with the MRT right in front and so easy to use to get around Singapore. Pool was mediocre, needs to be updated but overall would recommend the hotel. Check in was quick and easy and same with check out. ",,"Fredericton, Canada",18 ,3 ,,5.0
Date of stay: June 2023,Vikram,Family Vacation ,"WE were with here for 3 nights . Our Hotel room was Premier luxury facing the pool . We reached the hotel quite early and didn't expect the room to be allotted to us before 12.00 .  The front desk was helpful and agreed to give us the rooms ( But we had to compromise on the location ) .  This could be discounted .    Rooms were quiet , clean , linen changed every second day . Were happy to see NON Plastic room  keys . ( Looked that way )  Breakfast was good and Lavish spread ( though 90% were the same dishes again , that was one of the reasons , not to stay in any hotel more than 3 days ) . MRT right across the hotel .  Clarke Quay ( Hotel is actually on a Clark Quay ) . Nice location .   Overall : I will say good . Would I like to come back again , I would say that I would look",,"New Delhi, India",6 ,3 ,4.0,
Date of stay: June 2023,Paul A,A brilliant hotel with brilliant staff!,"Our Select Clarke Quay executive room was very spacious and we enjoyed using the balcony which overlooked Riverfront. The bed was large and comfortable, and we both slept very well. The bathroom was quite big and was always cleaned immaculately. We thoroughly enjoyed the privilege of the executive lounge. The Happy Hour drinks and hors d’ouvres were absolutely brilliant. It was also very nice to enjoy our breakfast in this quiet and comfortable room where breakfast was served to us. The food was lovely. I would like to especially commend Ani in the executive lounge who made us feel very special. After the first visit she knew our names and welcomed us with a beautiful big smile each time we visited the executive lounge. Ani deserves a bonus for her amazing work ! Thank you Ani!",,,1 ,1 ,5.0,
Date of stay: June 2023,Mel_Soudy,"Amazing hotel, beautiful staff, fantastic location! ","We highly recommend staying at this beautiful hotel. We are a family of 4 - 2A, 2C (10 & 4 years), and stayed for 7 nights. Our room was a double balcony room (this room has x2 double beds). The view from our room was picturesque, we overlooked the pools and the river. Everything from the reservations to the concierge services were 5 star. Nothing was too much trouble. We stayed for a special occasion and Rachelle and her team made sure our stay was amazing.   Pros > Location, location, location! Very central to everything (MRT, China Town, etc.). Hotel overlooks the river. Beautiful outlook from our room.  > Resort style pools with slides for the kids. This also is looking over the river.  > Rooms and bathrooms have been renovated. The are very comfortable and specious.  >",,"Gold Coast, Australia",2 ,,,5.0
Date of stay: July 2023,Connector03394645040,good experience at ellenborough cafe,"suresh was polite and had good service, he saw us celebrating my grandmother birthday and gave us a complimentary cake. had a great time with my family as the service staff served us with all smile. highly recommend and would come again",Trip type: Travelled with family,,1 ,,5.0,
Date of stay: May 2023,Vladimir Namednikov,Perfect time in Paradox hotel,"The hotel placed in very nice area, most of sight seeings are accessible by walk. Perfect room, lobby, swimming pool and so on.   And of course staff is very nice, polite, friendly and helpful! Only positive feelings!!",Trip type: Travelled solo,"Minsk, Belarus",2 ,,,5.0
Date of stay: June 2023,Cheers,Very Comfortable.,Nice hotel in a great location. Attractions are walkable but maybe easier with a taxi or Grab as very hot and humid. Lovely big reception with very friendly and helpful staff. Late checkout of 12 noon a big plus. Pool was nice and a great place to unwind. Drinks pricey at the pool but Singapore is expensive so in keeping with other places. Looked after us well when we arrived early with bag storage and shower facilities.,Trip type: Travelled as a couple,"Tauranga, New Zealand",28 ,4 ,5.0,
Date of stay: June 2023,Aeffeperdue,"Nice, professional and friendly hotel","Very nice Hotel, well organized, conveniently located in Singapore, very nice, kind and helpful staff, especially at the executive lounge! And Sri is always welcoming you with a nice greeting and a smile, making the difference! Thank you to the whole, great staff!",Trip type: Travelled on business,"Klagenfurt, Austria",3 ,5 ,5.0,
Date of stay: June 2023,wendyt519,Great value for money.,"We stayed here based on the reviews and we were not disappointed. Although the hotel may appear a bit old looking from the outside inside is fantastic. Our bedroom was immaculate and modern. It had everything we would need, bathrobes, slippers, pillow menu and even a balcony to sit and have an evening drink. From arriving to leaving the hotel the service was outstanding. Ewan (I think) the gentleman who served us at the pool area with drinks was a beautiful person and a credit to the hotel.",Trip type: Travelled as a couple,Gold Coast ,11 ,17 ,5.0,
Date of stay: June 2023,SagarVS,Dull place,"Location is excellent with quick access to a number is Malls, hundreds of restaurants and attractions. In terms of guest facilities there are a few handicaps. There is no cafe or room service after 10.30 pm and this is a problem since everything around closes around the same time.
The staff do not mingle and positively engage with guests and they mind their business. Any out of the book request is quickly turned down with out any second thought. The rooms are clean and of a moderate size. House keeping is slack and My toilet was not cleaned properly and the dirt remained in the same spot for three days.
This place needs fresh energetic people. I had a dull stay here and won’t be going back next time.",Trip type: Travelled on business,India,2634 ,902 ,3.0,
Date of stay: June 2023,Chasity12,location good- but very noisy ,The location is good- especially if you're into walking a lot. The hotel itself is outdated (if you care about that). The doors to the rooms slam!!! So expect to hear door slamming all hours of the night and morning- didn't get much sleep.,Trip type: Travelled as a couple,,5 ,,2.0,
Date of stay: May 2023,Sandra R,Excellent ,"Absolutely everything was perfect. Probably the best breakfast I’ve ever had anywhere and we’ve traveled quite a bit.  Would recommend without hesitation. Convenient location for public transport, plus within walking distance of a lot of attractions.",Trip type: Travelled as a couple,"Dublin, Ireland",22 ,9 ,5.0,
Date of stay: April 2023,JitaGui,"Incredible experiences, we will be back","Beautiful room with an incredible view, upgrading to executive was definitely worth it. Sri, Vicky, and Johanna our stay comfortable and treated us like family.

Breakfast in the executive lounge was delicious and had a beautiful view, but happy hours had to top quality food and wine and were a highlight of our evenings.

My son thoroughly enjoyed the pool, slides and water fountains, and made use of them every day!!

The gym facilities were nice, I wish I had more time to take advantage of them.

Great location, near MRT, bus lines, central to CBD. We really enjoyed taking the night, boat trip and watching the light show from the river.",,"Los Angeles, California",1 ,,,5.0
