date_of_stay,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating1,rating2
Date of stay: July 2023,jatinkapoor0039,Best❤️❤️,"Best hotel with best service and beautiful rooms with city view near to metro station is best part of this hotel and service of this hotel is superb , staff behavior and taking is very good love to stay again in this hotel❤️❤️❤️❤️",,"Ludhiana, India",1 ,,5.0,
Date of stay: July 2023,WillnRalfReviews,Park Regis Singapore,"The location of the Park Regis was excellent. Straight across the road to the MRT which got you everywhere cheaply AND straight across the road to Clarke Quay for dining and entertainment. Staff were friendly and helpful, especially Resh. Would stay here again.",,"Yandina, Australia",1 ,,4.0,
Date of stay: July 2023,gurwant83,Excellent,Location cleanliness was awesome. Very quite so sleep was good. Staff was friendly too. Overall I enjoyed my stay and will recommend my other friends too. Showers are too good. Eating places are at walking distance,,"Auckland, New Zealand",1 ,,5.0,
Date of stay: July 2023,pauldy15,Park Regis - Downtown Singapore,"I recently spent almost two weeks at the Park Regis, downtown Singapore. The hotel is within walking distance of lots of shops, malls, and restaurants. It is literally right across the street from a bridge that leads to Clarke Quay and its collection of restaurants. Marina Bay Sands and surrounding attractions are an easy (but sweaty) 20 minute walk. The pool and gym are nice and their self-service laundry was nice for my longer than normal stay. The staff is super friendly and the place was very clean. Bonus content: download and setup the Grab app (their equivalent to Lyft and Uber) before you visit Singapore - it is the cheapest and fastest way to get around. A Grab car usually showed up within 5 minutes of me hailing it through the app. My only comment is on the room size - the room I was assigned was kind of small compared to other places I've stayed. All-in-all it was a nice stay!",Trip type: Travelled on business,"Peachtree City, Georgia",9 ,1 ,4.0,
Date of stay: June 2023,tammy494,Awesome stay,"The staff are amazing! Extremely helpful at all times!  They made our extended stay a wonderful experience, Angel and Loga and others.  We unfortunately were moved from our room to a newer room because there were air conditioning issues that were not addressed earlier when we brought the issues to the attention of the staff fluctuating temperatures and condensation on the ceiling.  The room was stuffy or extremely cold.  The newer room was much better but a little late.  Overall, the stay was good. I would stay again and recommend it to others; the location is ideal, and the hotel staff is exceptional.  i",,,1 ,,4.0,
Date of stay: July 2023,cserage,Very good location and service,"The hotel had great service, we loved the location near Clarke Quay, and all at an affordable price. They were outstanding when we had to quickly order 12 takeaway lunches on short notice for a business trip.",Trip type: Travelled on business,,1 ,,4.0,
Date of stay: July 2023,Daniel S,Perfect location - friendly staff,"Had a very enjoyable stay at Park Regis Singapore
The team were exceptionally helpful and accommodating and the room comfortable. The location was perfect with easy access to Clarke Quay and Marina Bay.",Trip type: Travelled on business,"Macclesfield, United Kingdom",9 ,,4.0,
Date of stay: July 2023,Hideyuki-July,Wonderful Hotel,5 members stayed 3 more nights on biz trip. The best point is quiet and clean. Location is the best. All hotel staffs are very kind and good smile. Transportation like taxi call is very quick so everything on schedule. Thank you very much.,Trip type: Travelled on business,"Yokohama, Japan",1 ,,5.0,
Date of stay: July 2023,rdh4476,Poky musty room,We stayed in the pool side room with deck. No vibes in room like pictures show on the net. Dirty old carpet skirting boards. Sheer curtains cheap and dirty base. Flat pillows. Noisy if you have door open and not private.,,"Quorrobolong, Australia",13 ,,3.0,
Date of stay: July 2023,smartie989,"Great location, clean amenities","Great location for exploring Singapore with a lovely pool if you get time to use it! We were short for time so didn’t, but it looked lovely.

Only thing is that the shower and toilet are behind frosted glass so be conscious if you’re travelling with friends.

Beds super comfortable and reception are responsive and professional. Concierge always offered us water on our way out and there to open the door upon our return.",,"Rhosneigr, United Kingdom",135 ,59 ,4.0,
Date of stay: June 2023,hyunjinpark2023,"No change pillow cover and bottom towel, always i have to ask house keeping to provide coffee and tea and only provide",Only provide big towel and too noisy if room has balcony. Breakfast has not many choices and very simple. Looks like less than 3 stars hotel. Gym equipments needs to be repaired. Dont use laundry machine..smell is so bad and hotel staff never try to check by themselves and they just ask to bring your laundry if you smell.,Trip type: Travelled on business,,1 ,,2.0,
Date of stay: July 2023,Scenic24669799339,Great staff,"This is a great hotel, in a terrific position, but the best thing about it is the staff. Really attentive and thoughtful - thanks to Honey on the breakfast shift for helping me, even when I arrived too late for breakfast (jet lag and forgot to set the alarm), and to Angel on reception for arranging my late check out.
Will definitely stay again - thank you!",Trip type: Travelled solo,,1 ,,5.0,
Date of stay: July 2023,C H,Great stay great breakfast,"I had a very nice experience in staying here from 1-8 Jul. Although the room size is a bit small, you could get essential things (eg. iron, brush, slippers), which you need from the room.
I have to highlight that their breakfast is really awesome as they keep adding new dishes every morning. Besides, the chef, Sophia, made perfect ‘all-in’ omelet that I have ever had! I would love to stay here again because of having omelet",Trip type: Travelled on business,,1 ,,5.0,
Date of stay: July 2023,Aileen C,A great stay,"As a travel agent who arranged a one night stopover in Singapore for 8 solo ladies on the return to Australia from Italy the Park Regis suited us perfectly. Rooms were clean and comfortable with fabulous full length mirrors, breakfast tasty and plentiful, location perfect and the service from check-in and concierge staff second to none. I will certainly be using for my own personal visits and recommending to clients and colleagues.",,,8 ,1 ,5.0,
Date of stay: July 2023,Bellatrix6618,Great stay!,"Great location about 10mn walk from Chinatown and opposite and MTR station.
Staff is extremely friendly and helpful.
Room was lovely, clean and well furnished.
Even though we had checked out we were also able to come back later in the day after leaving our bags at the concierge and accessing the pool and the showers before our flights. Absolutely great value for the price!",Trip type: Travelled as a couple,"Christchurch, New Zealand",166 ,43 ,5.0,
Date of stay: June 2023,948geoffreys,Park Regis Singapore,"The hotel is in a great position, adjacent to Clarke Quay with ample transport options to travel anywhere on the island. Room while compact had everything that we needed and the housekeeping was excellent. Superb swimming pool.
The only area that I would change was the restaurant which did not meet my western tastes.",,Mawern East,2 ,,5.0,
Date of stay: July 2023,Kristen L,Avoid Avoid Avoid. Worst room ever.,"On the surface this is an impressive hotel, until you get to your $300/night room and find the toilet next to the bed, with a see through door and not fully enclosed door. Literally it has public toilet set ups in the room except public toilets are more private because their doors aren't see through. Absolutely appalled and will tell everyone I can to never stay here.",Trip type: Travelled as a couple,,3 ,,1.0,
Date of stay: June 2023,Danny20230627,Wonderful Experience,"The Park Regis Hotel is located in front of the Clarke, so it's really convenient. Also, Clarke Station (MRT) is a two-minute walk away, and even if it rains, you can get to the hotel without getting rained on if you come out of Exit B of Clarke Station. The Central shopping mall is located above Clarke Station, and there is also Yakunkaya Toast on the first floor. The Park Ridge staff are very friendly and the outdoor swimming pool is very nice.",Trip type: Travelled on business,,1 ,,5.0,
Date of stay: June 2023,MarvinTham,StayCay at Park Regis,It has a nice view over looking Clark Quay. Room was a little small but creatively designed to make the room look bigger. Toilet doors may need a little work as they seem to overlap each other casing the other stall to open when you open the other. Wash basin is outside has it pros and cons (Pros is you can still use it if someone is in the shower or toilet. Cons is you wake your spouse if they are a light sleeper.). Room has a day bed so it’s cool.,,"Singapore, Singapore",1 ,2 ,4.0,
Date of stay: June 2023,andreaA4810DJ,Park Regis Singapore,"A nice place to stay which is close to Clarke Quay and Boat Quay. Also close to Clarke Quay MRT which makes getting around Singapore very easy. Breakfast is good, especially the freshly made omelette.  The pool is a great asset on those hot humid days.",,"Christchurch, New Zealand",1 ,,5.0,
Date of stay: June 2023,Danuta N,Excellent Holiday,"we loved the Park Regis Singapore. Easy access to MRT and Clarke quay. Near China Town and Little India.
The Breakfast crew were fabulous and friendly. The food great. Enjoyed the pool as well as poolside and room service.
The rooms were clean and the lady cleaning was friendly and amazing. well Done Regis",,Perth wa,24 ,5 ,5.0,
Date of stay: June 2023,A380SIA,Excellent service and location,We were welcomed warmly and treated respectfully.  Our room was ready early and we were able to move in before the advertised check in time.  After a long flight this was greatly appreciated.  The ability to have a shower before our onward flight was also appreciated.  Thanks especially to William.,,"Sydney, Australia",17 ,6 ,5.0,
Date of stay: June 2023,andreasdienst,Very good hotel in a good location,"in the immediate vicinity of Clarke Quay, this hotel is the best starting point for exploring the city. Everything is very well maintained, clean and of high quality. Staff is very friendly and helpful. Breakfast rich and very tasty. I highly recommend this hotel.",,,1 ,,4.0,
Date of stay: June 2023,hillyjohn,tiny rooms,"the rooms are only 20square metres and so small there is no where tout two suitcases only on the bed.
The shower leaks water from under the door so a daily mop up is needed. for the price I believe there is better value accommodation .",,"Vienna, Austria",69 ,34 ,3.0,
Date of stay: June 2023,peterloo2023,Very good,"excellent location, close to mrt station, restaurants and bars.
you can reach chinatown by feet as well.
the only issue is the room is kinda small, not a big deal tho, just need to be mentally prepared.",,,1 ,,5.0,
Date of stay: June 2023,John S,A week in Singapore,"Hotel staff friendly and helpful. The hotel has an expensive fancy dining restaurant and a much more reasonable bento box service. The air conditioning is set very low, to the point it is unpleasantly cold. No milk for tea. Bath towels but no hand towels. Odd arrangement within the room, with no completely separate bathroom. WIFI good. Complementary water.",,"Christchurch, New Zealand",5 ,1 ,3.0,
Date of stay: June 2023,Mr.Thomas,"Average Hotel, not bad but also not super good","We stay in Park Regis for 1 night prior to our cruise and arrived around 2PM and get our room directly what was good. The rooms qre small and the bathrooms/shower is an open concept what we don‘t like so much as we prefer more privacy. Nevertheless for one night ok but not more. The hotel is close to China town as well to Clarkes Quay what is both in walking distance. Also many restaurants and cafes nearby. The hotel pool is nice and good to cool down in hot Singapore. The breakfast was disappointing, the coffee from the machine was disgusting, also choice of food and presentation are not good. So we grab only. A toast some scrambled eggs, thats it. The bacon tast like nothing. Allover it was ok but next time we will try another hotel",,Germany,382 ,142 ,,3.0
