date_of_stay,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating1,rating2
Date of stay: September 2023,Maher K,Pleasent staycation,"The staff (Mr. James) is very helpfull and polite, i'll come back again to this hotel  if i goes to S'pore again, the room are cleab and nice.. Also the neightberhood are warm and comfort, this is my first time stay and i will not forget it, thank you.",,"Tangerang, Indonesia",1 ,,,5.0
Date of stay: September 2023,Maps55037337587,Hotel BOSS,"Good hospitality and guidance by Ms vasanthi , we checked in to room 942 and the room was good with a good view . We can stay here for long periods without any problem . The ambience is also great. This hotel is just amazing.",,,1 ,,5.0,
Date of stay: April 2023,Sherpa26430096468,Near the city centre,Good for transit if you still want a few hours to enjoy the main attractions of the city. We were upgraded to the next category which has balcony but the room is still small. The lobby was crowded with tourist when we came.,,"Dubai, United Arab Emirates",3 ,,4.0,
Date of stay: September 2023,Pavan_Divya,Great experience,Very effortless and pleasant experience! Vasanthi at the front desk made it seamless! Hotel Boss is good and clean and very close to shopping places. The breakfast did spread is very good and have good vegetarian options as well,,,1 ,,5.0,
Date of stay: September 2023,Jodan T,Amazing stay!,Vasanthi was very helpful and accommodating. The hotel looks amazing and so glad we could be staying for our honeymoon. First time to Singapore and Hotel Boss made it a wonderful stay. Thank you very much,,,2 ,,5.0,
Date of stay: September 2023,Navigate18469512622,Great,Great customer service Vasanthi! She’s truly happy and took great care of us. She let us checked in quickly even though the check in time is at 13:00 pm. Would love to see her again! Do what you do!!!,,,1 ,,5.0,
Date of stay: August 2023,Fearless629559,Great Hotel,"Excellent service received from the personnel. Personal touch in their interactions with guests, particularly from Vasanthi at the reception. Early check I'm allowed, pool is fantastic. Ambient is very good and easily accessible. Rates also not over the top.",,,1 ,,5.0,
Date of stay: September 2023,Escape41773791629,Boss is the best,"Thé center spot in town for an affordable price, Lavender MRT & MC Do is just 2 mins walk from the Hotel. You could explore the city just as easy as you like and you got all the malls and shops around you.",Trip type: Travelled as a couple,,1 ,,5.0,
Date of stay: August 2023,soumavaghosh1,Excellent,I am very much pleased with the service of Eric sia ND his assistance towards work ND cooperation .. his cooperation towards guest service is excellent .. I am just speechless about his cooperation.. jewel in the team of the hotel,Trip type: Travelled on business,"Kolkata (Calcutta), India",1 ,,5.0,
Date of stay: September 2023,muthuraj s,Amazing,The experience was amazing. Specially the friendly approach and guidance of Mr. Eric Sia was too good. Hotel ambience was really good. Hotel location is very apt. They have a great restaurant and other facilities. All shopping locations are very nearby.,Trip type: Travelled with family,,1 ,,,5.0
Date of stay: September 2023,ZHIWEN S,Experience during hotel check-in and friendly communication with service personnel,"The hotel is located in a bustling area of the city center, making shopping, dining, and entertainment very convenient. Highly recommended! The price is not expensive in the urban area, and the accommodation environment and hygiene are much better than other fast hotels at the same price. The service attitude by eric sia is standardized and worth recommending.",Trip type: Travelled solo,,1 ,,5.0,
Date of stay: August 2023,Kazi Asif,Amazing service by eric in Boss,Awesome service by mr Eric sia in the hotel . He helped me to get have a nice room in early check in . The room was very good and the environment also . Lots of nearby places that helped  us to rome around so easily,Trip type: Travelled as a couple,,2 ,,5.0,
Date of stay: August 2023,GrandTour64653248375,Service provider AMIRUL,Best service provided by hotel bos and there receptionist Mr. AMIRUL give us the best services and room with a good view and it was great time in hotel boss and wonderful trip. Thank you for everything.,Trip type: Travelled as a couple,,1 ,,5.0,
Date of stay: August 2023,Akshay,Good checkin experience,The checkin experience at the hotel was very good and smooth after a long flight from pune india the check in was done super fast by vasanthi at the front desk.The hotel is located very close to the lavender metro station for easy access to commute and also close to Bugis shopping district.,Trip type: Travelled with family,Pune,5 ,7 ,5.0,
Date of stay: August 2023,fairuz m,Excellent hotel staff,"Smooth process in checking in and I was even allowed to check-in early, and I was assisted by James at the reception who was very nice and welcoming. I also commend the hotel staff who helped me with my luggage but forgot to get his name.",Trip type: Travelled solo,,1 ,,,5.0
Date of stay: July 2023,Passenger45706711730,Delightful Singapore,"Really good experience , the hotel was well maintained and very clean.
The hotel is very close to the city centre as well Very friendly staff. Great experience overall .
Definitely worth the price .",Trip type: Travelled with family,,1 ,,5.0,
Date of stay: August 2023,Navigate65729491804,Stay like a Boss!,We booked our stay as we had a 24 hour layover. Amirul at the reception desk was super nice and he helped us with an early check-in as we also had kids with us. Early check-in was a big relief. Room is good and very clean. The people at the reception desk are super nice. We got a room with a great view. Hotel also helped us in getting a taxi super early in the morning so that we can reach airport on time. The Hotel is closely located to some of the outdoor attractions. We would highly recommend it!,Trip type: Travelled with family,,1 ,,,5.0
Date of stay: August 2023,Sherpa55852701124,Good clean,Hotel is good and clean..staff is friendly..easy walking distance to mrt and all.easy to find food and also halal food....will revisit this hotel on my next holiday. Thank you for the free upgrade room,,,1 ,,5.0,
Date of stay: August 2023,Taylor L,Wonderful staff and great hotel,"Very happy with our stay at Hotel Boss. The room is perfect for what we needed with our 2 night stop over. The facilities were also great, with a nice big pool and water fountains to fill up your water bottles.    The staff were very accomodating to our needs, especially Amirul. We highly recommend this hotel.",,,1 ,,5.0,
Date of stay: August 2023,Shirish01,Fantastic Service Received by Amirul,"I am very amazed with the service received by the staff named AMIRUL. Fantastic guy, he genuinely cares for customers.  Amirul took the ownership of my request. He paid attention in detail towards my request. Amirul, you are the man , you really helped me when I needed the most.",,,1 ,,5.0,
Date of stay: August 2023,Seaside18630881840,"Liu Fei was friendly and helpful, staff generally friendly","Liu Fei was very helpful during our check in!   Generally the staff here are nice but the size of this hotel means you’re easily forgotten! Breakfast is busy but tasty and the rooms are average.   We personally believe we’re not getting value for our money (NZD)  but if a standard hotel with a nice pool is what you need, hotel boss is good ",,,2 ,,3.0,
Date of stay: August 2023,Trail49613559509,Great hotel,"We had a great stay at Hotel Boss. We were served by Vasanthi who was very professional. The hotel was next to the train station from the airport and close to city center, it was made our stay easy. We recommend!",,,1 ,,5.0,
Date of stay: August 2023,Fermmie,Overall is ok,"We stay 4 days 3 nights. We really appreciate the staff willing to give us check in early. Besides that, we also thank you the staff Eric Asia which allowed us to stay at the same room at 3rd night because we booking different type of room. Hotel is near Lavender MRT, just 5 min walking distance. It is very convenient to go out.",,,2 ,,4.0,
Date of stay: August 2023,Sightseer10429469878,Amazing!,"Wow, the fastest check in ever, super helpful receptionist. The hotel is clean and neat, everybody works super hard to create a good environment while checking in. Will recommend to others to stay here! (Vasanthi)",,,1 ,,,5.0
Date of stay: August 2023,Dilini,The best stay in singapore,This is the third time we are staying in this hotel.. every trip we have stayed here atleats five days.. the rooms are very clean.. and they offer a good breakfast.. the view from the hotel room was amazing.. and easy to access the mrt and the shopping areas.. Ms. Vasanthi was the one who handles our reservation and ahe arranged an early check in as we travelled with my small kid.. Best stay ever.. ,,,5 ,10 ,5.0,
Date of stay: July 2023,krishna g,Good location,"Good location. Clean rooms. Close to MRT. Laundry facilities available. Gym, swimming, pool. Nice restaurants near by. Close to Lavender and Farrer Park MRT. Near to little India, China Town and Arab street",,,2 ,,5.0,
Date of stay: August 2023,Vishnu J,Nice hotel and nice staff.,"The hotel is nice and in a good location.  The hotel has larger rooms compared to the rest of the hotels in SG with similar pricing.  The staff, Vasanthi was very helpful and helped me extend my stay in the same room.  ",,"Bengaluru, India",2 ,1 ,5.0,
Date of stay: August 2023,tapas800,Not value for money.,"We stayed in the hotel for four nights in August, 2023. Hotel location is very convenient as it is very near Lavender MRT station and also about 10-15 minutes walk from Little India. Room size was very small considering the price we paid per night, a little more than Rs.10,000/- per night ( Superior Double Room without breakfast). Also, the room had no almirah.
It is a very big hotel in Singapore. We were really surprised when we entered such a small room allotted to us in 7th floor. The bed was also uneven.
Plus points: Hotel reception gave additional bottled water on demand on most occasions. They had big locker room where you can put your luggage after checking out. Plenty of restaurants around the hotel and very near Mustafa centre where all items of daily necessities are available.
However, room size was a big disappointment. If you put your luggage for two persons in that room, without any almirah, there is hardly any space to walk in the room. Certainly, we would recommend looking for better options at that price.",Trip type: Travelled as a couple,"Kolkata (Calcutta), India",4 ,,4.0,
Date of stay: August 2023,AlBio,Modern Hotel,"Modern Hotel, rooms are clean and the design is nice even if a bit small. Great position, next to Arab quarter and city center. The view from the room is very nice.
Nice staff especially Amirul (Reception) very professional, kind and helpful.",Trip type: Travelled as a couple,,22 ,13 ,4.0,
Date of stay: August 2023,Travel13429078823,Good hotel & co-opeative staff.,Very good hotel.. Ms Vasanthi provided us a room with city view which was very nice and helpful for us. Hotel has good co-operative staff and nice locations. Bus station is just adjacent to the hotel.,Trip type: Travelled with family,,1 ,,5.0,
Date of stay: August 2023,Navigate47228792687,Awesome experience,"Vasanthi is really friendly and considerate, very nice hotel, and wish to have beautiful time here, would never hesitate to come here again and it’s highly recommended to all of you, if you are looking for a good hotel to stay in, then that’s it",Trip type: Travelled solo,,1 ,,5.0,
Date of stay: August 2023,Climber68647047405,Excellent,"The pillow are the fluffiest. I felt very great . The experience is very nice and I felt very comfortable here…
I like the hotel so mucchh
Place is very nice and I want to visit here once again

Served by Vasanthi",Trip type: Travelled as a couple,,1 ,,5.0,
Date of stay: August 2023,Travel17873217599,Representative Service,Good service by the representer to book the room.Atmosphere also good.I would like to recommend this hotel.place also good.Nice view from the hotel.Food quality also good.Very convenient for movement.,Trip type: Travelled solo,,1 ,,5.0,
Date of stay: August 2023,Endru wong,"Best of the best mrs vasanthi, I like very much. Thank you mrs vasanthi, you already helping me til I’m check in at hote","Vasanthi so Good, excellent service. Nice person and helpful person, she so nice personality. Amazing person and I believe she deserved to be manager front officer.
Very cheerful, and good smile. Thx",Trip type: Travelled with family,,3 ,1 ,5.0,
