,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_1,count_topic_0,count_topic_3,topic_1,topic_0,topic_3,count_topic_2,topic_2,count_topic_4,topic_4
7458,lourizamazing,2018-10-01,PreCovid,3,5.0,"[[hotel, great, 1], [staff, great, 1]]",2.0,,,0.8,,,,,,
7459,yingyueh2018,2018-10-01,PreCovid,3,5.0,[],,,,,,,,,,
7460,khealy743216,2018-10-01,PreCovid,3,3.0,"[[room, fit, 0], [room, 'well fit', 0]]",,2.0,,,0.4,,,,,
7461,garyjonesips,2018-10-01,PreCovid,3,3.0,"[[room, smallest, 0]]",,1.0,,,0.0,,,,,
7462,Bell L,2018-10-01,PreCovid,3,4.0,"[[room, great, 0], [room, wider, 0], [help, new, 1], [bathroom, good, 0], [bathroom, bad, 0]]",1.0,4.0,,0.13636363636363635,0.20000000000000004,,,,,
7463,MyDomhnall,2018-05-01,PreCovid,3,5.0,"[[stay, sim, 1], [stay, whole, 1]]",2.0,,,0.1,,,,,,
7464,luv2travel0604,2018-10-01,PreCovid,3,5.0,"[[room, small, 0], [check, nice, 2], [check, 'super nice', 2]]",,1.0,,,-0.25,,2.0,0.5333333333333333,,
7465,lalagreen,2018-10-01,PreCovid,3,4.0,[],,,,,,,,,,
7466,markY3910GQ,2018-10-01,PreCovid,3,4.0,"[[place, nice, 1], [place, 'still nice', 1]]",2.0,,,0.6,,,,,,
7467,Kay R,2018-10-01,PreCovid,3,5.0,[],,,,,,,,,,
7468,Hassan F,2018-10-01,PreCovid,3,3.0,[],,,,,,,,,,
7469,sukrirazak,2018-10-01,PreCovid,3,2.0,"[[space, great, 0], [room, poor, 0]]",,2.0,,,0.2,,,,,
7470,Roam823209,2018-10-01,PreCovid,3,5.0,"[[time, next, 2]]",,,,,,,1.0,0.0,,
7471,kellfam,2018-10-01,PreCovid,3,4.0,"[[room, cruis, 0], [room, great, 0]]",,2.0,,,0.4,,,,,
7472,sharlenyoo,2018-09-01,PreCovid,3,5.0,"[[floor, enough, 0], [room, interior, 0], [night, overal, 4], [night, perfect, 4]]",,2.0,,,0.0,,,,2.0,0.5
7473,TravellingWellman,2018-09-01,PreCovid,3,4.0,"[[room, big, 0], [hotel, singapor, 1], [room, clean, 0], [room, modern, 0], [area, great, 4]]",1.0,3.0,,0.0,0.18888888888888888,,,,1.0,0.8
7474,Klaus C,2018-09-01,PreCovid,3,3.0,"[[time, much, 2]]",,,,,,,1.0,0.2,,
7475,Florence Yim,2018-10-01,PreCovid,3,5.0,"[[stay, great, 1], [size, small, 0]]",1.0,1.0,,0.8,-0.25,,,,,
7476,CEH842,2018-10-01,PreCovid,3,1.0,"[[staff, nice, 1], [call, small, 3]]",1.0,,1.0,0.6,,-0.25,,,,
7477,siansysm,2018-10-01,PreCovid,3,5.0,"[[area, minor, 4]]",,,,,,,,,1.0,-0.05
7478,stuartovington,2018-10-01,PreCovid,3,5.0,"[[breakfast, nice, 4]]",,,,,,,,,1.0,0.6
7479,tiger1973333,2018-09-01,PreCovid,3,4.0,"[[hotel, good, 1]]",1.0,,,0.7,,,,,,
7480,mhamil408781,2018-10-01,PreCovid,3,4.0,"[[room, nice, 0], [shower, minor, 0]]",,2.0,,,0.27499999999999997,,,,,
7481,Bencito,2018-10-01,PreCovid,3,4.0,"[[hotel, clean, 1], [room, chic, 0], [room, small, 0], [room, smaller, 0]]",1.0,3.0,,0.3666666666666667,-0.08333333333333333,,,,,
7482,hungyanl2016,2018-10-01,PreCovid,3,5.0,"[[room, nice, 0], [room, good, 0]]",,2.0,,,0.6499999999999999,,,,,
7483,Colin_Welwyn,2018-10-01,PreCovid,3,3.0,"[[room, small, 0], [room, small, 0], [room, ok, 0], [room, hidden, 0]]",,4.0,,,-0.041666666666666664,,,,,
7484,740rose,2018-10-01,PreCovid,3,4.0,[],,,,,,,,,,
7485,htieu817198,2018-10-01,PreCovid,3,1.0,"[[room, bigger, 0]]",,1.0,,,0.0,,,,,
7486,Lovelife,2018-10-01,PreCovid,3,5.0,"[[love, singapor, 3], [shower, perfect, 0], [shower, top, 0], [shower, great, 0], [bed, soft, 0]]",,4.0,1.0,,0.6,0.5,,,,
7487,Violeta B,2018-09-01,PreCovid,3,5.0,"[[room, singapor, 0], [breakfast, welcom, 4]]",,1.0,,,0.0,,,,1.0,0.0
7488,pratik372016,2018-10-01,PreCovid,3,5.0,"[[area, close, 4], [size, perfect, 0], [stay, experi, 1], [stay, great, 1]]",2.0,1.0,,0.4,1.0,,,,1.0,0.0
7489,Nat Lee,2018-09-01,PreCovid,3,5.0,"[[staff, clean, 1], [love, good, 3]]",1.0,,1.0,0.3666666666666667,,0.6,,,,
7490,ellie d,2018-09-01,PreCovid,3,5.0,"[[walk, short, 4]]",,,,,,,,,1.0,0.0
7491,henry102018,2018-10-01,PreCovid,3,3.0,"[[room, good, 0]]",,1.0,,,0.7,,,,,
7492,PinoyTraveller927,2018-09-01,PreCovid,3,5.0,"[[staff, nice, 1], [staff, 'super nice', 1], [room, clean, 0], [food, nice, 1], [floor, cool, 0]]",3.0,2.0,,0.5555555555555555,0.35833333333333334,,,,,
7493,CK,2018-09-01,PreCovid,3,4.0,"[[stay, nice, 1], [stay, short, 1], [bed, small, 0]]",2.0,1.0,,0.3,-0.25,,,,,
7494,ajdonohoe,2018-09-01,PreCovid,3,5.0,"[[room, new, 0]]",,1.0,,,0.13636363636363635,,,,,
7495,Yoon Y,2018-09-01,PreCovid,3,4.0,"[[water, hot, 0], [night, weak, 4]]",,1.0,,,0.25,,,,1.0,-0.375
7496,wilbrightj,2018-09-01,PreCovid,3,4.0,[],,,,,,,,,,
7497,Hana8566,2018-09-01,PreCovid,3,5.0,[],,,,,,,,,,
7498,Bishopnyc23,2018-10-01,PreCovid,3,5.0,"[[staff, clean, 1]]",1.0,,,0.3666666666666667,,,,,,
7499,Shravanika G,2018-10-01,PreCovid,3,4.0,"[[pool, singapor, 4]]",,,,,,,,,1.0,0.0
7500,ediscm,2018-09-01,PreCovid,3,4.0,[],,,,,,,,,,
7501,mleyesdo,2018-09-01,PreCovid,3,3.0,"[[room, good, 0], [room, small, 0], [time, open, 2], [time, luggag, 2]]",,2.0,,,0.22499999999999998,,2.0,0.0,,
7502,Jae Yeon Jenny K,2018-10-01,PreCovid,3,3.0,"[[area, public, 4], [room, good, 0]]",,1.0,,,0.7,,,,1.0,0.0
7503,prisandreality,2018-09-01,PreCovid,3,5.0,"[[place, stylish, 1], [place, good, 1], [walk, small, 4], [walk, much, 4]]",2.0,,,0.6,,,,,2.0,-0.024999999999999994
7504,kwyuen02,2018-09-01,PreCovid,3,4.0,"[[day, first, 2]]",,,,,,,1.0,0.25,,
7505,sugath p,2018-09-01,PreCovid,3,1.0,"[[room, good, 0], [staff, low, 1], [staff, clean, 1], [food, good, 1], [hotel, enough, 1]]",4.0,1.0,,0.26666666666666666,0.7,,,,,
7506,Carla,2018-09-01,PreCovid,3,5.0,"[[room, clean, 0]]",,1.0,,,0.3666666666666667,,,,,
7507,2SlowTerry,2018-10-01,PreCovid,3,4.0,"[[hotel, good, 1], [floor, second, 0], [room, singl, 0], [bathroom, small, 0]]",1.0,3.0,,0.7,-0.08333333333333333,,,,,
7508,InchKentley,2018-09-01,PreCovid,3,4.0,"[[breakfast, small, 4]]",,,,,,,,,1.0,-0.25
7509,andreagallucci2018,2018-09-01,PreCovid,3,2.0,"[[staff, rude, 1], [room, small, 0]]",1.0,1.0,,-0.3,-0.25,,,,,
7510,Jaco8400,2018-09-01,PreCovid,3,4.0,"[[room, good, 0], [room, close, 0], [breakfast, small, 4], [breakfast, ok, 4], [check, late, 2], [room, right, 0]]",,3.0,,,0.32857142857142857,,1.0,-0.3,2.0,0.125
7511,jf3345,2018-09-01,PreCovid,3,5.0,"[[stay, great, 1], [help, huge, 1]]",2.0,,,0.6000000000000001,,,,,,
7512,Martijn,2018-09-01,PreCovid,3,4.0,"[[breakfast, 'also lot', 4], [breakfast, morn, 4], [breakfast, 'later morn', 4], [stay, good, 1]]",1.0,,,0.7,,,,,3.0,0.0
7513,dmunday2018,2018-09-01,PreCovid,3,4.0,[],,,,,,,,,,
7514,Little T,2018-09-01,PreCovid,3,4.0,"[[room, unfortun, 0]]",,1.0,,,0.0,,,,,
7515,Andrea G,2018-09-01,PreCovid,3,2.0,"[[staff, rude, 1], [staff, rude, 1], [room, small, 0]]",2.0,1.0,,-0.3,-0.25,,,,,
7516,justinpascale,2018-09-01,PreCovid,3,4.0,[],,,,,,,,,,
7517,Melpo A,2018-09-01,PreCovid,3,4.0,"[[room, clean, 0], [room, small, 0], [room, good, 0], [room, small, 0], [stay, new, 1], [stay, good, 1], [staff, clean, 1], [room, clean, 0], [door, twice, 0], [day, twice, 2], [room, cleaner, 0]]",3.0,7.0,,0.40101010101010104,0.13333333333333333,,1.0,0.0,,
7518,AnneMYoo,2018-09-01,PreCovid,3,4.0,"[[area, great, 4], [water, cold, 0], [floor, perfect, 0], [night, small, 4], [night, enough, 4], [space, much, 0], [area, stuffshow, 4]]",,3.0,,,0.20000000000000004,,,,4.0,0.1375
7519,siddharthb800,2018-09-01,PreCovid,3,5.0,"[[place, great, 1]]",1.0,,,0.8,,,,,,
7520,sebastianahau,2018-09-01,PreCovid,3,5.0,"[[stay, nice, 1], [stay, nice, 1], [room, much, 0], [place, great, 1], [area, nice, 4], [area, central, 4]]",3.0,1.0,,0.6666666666666666,0.2,,,,2.0,0.3
7521,Melisa R,2018-09-01,PreCovid,3,5.0,"[[stay, perfect, 1], [stay, short, 1], [staff, singapor, 1], [water, clean, 0], [room, everi, 0], [night, longer, 4], [stay, small, 1]]",4.0,2.0,,0.1875,0.18333333333333335,,,,1.0,0.0
7522,Hoorulyn,2018-09-01,PreCovid,3,3.0,"[[area, nice, 4]]",,,,,,,,,1.0,0.6
7523,e46x2,2018-09-01,PreCovid,3,4.0,"[[bed, standard, 0]]",,1.0,,,0.0,,,,,
7524,troychapman,2018-09-01,PreCovid,3,5.0,"[[room, great, 0]]",,1.0,,,0.8,,,,,
7525,Kasia D,2018-09-01,PreCovid,3,4.0,"[[place, small, 1], [place, bare, 1], [hotel, top, 1], [hotel, top, 1]]",4.0,,,0.2,,,,,,
7526,Steven Lum,2018-09-01,PreCovid,3,2.0,"[[room, good, 0]]",,1.0,,,0.7,,,,,
7527,StevenBrent,2018-09-01,PreCovid,3,4.0,"[[place, nice, 1], [time, nice, 2], [room, central, 0], [staff, nice, 1], [night, fresh, 4]]",2.0,1.0,,0.6,0.0,,1.0,0.6,1.0,0.3
7528,AdrielPinto,2018-09-01,PreCovid,3,4.0,"[[time, first, 2], [use, singapor, 3], [room, small, 0]]",,1.0,1.0,,-0.25,0.0,1.0,0.25,,
7529,Steven,2018-09-01,PreCovid,3,4.0,"[[room, small, 0], [room, stylish, 0], [room, super, 0], [room, stylish, 0], [breakfast, good, 4]]",,4.0,,,0.2708333333333333,,,,1.0,0.7
7530,karolinakasparova,2018-09-01,PreCovid,3,5.0,"[[room, clean, 0]]",,1.0,,,0.3666666666666667,,,,,
7531,kimbowyer64,2018-09-01,PreCovid,3,5.0,"[[place, great, 1], [help, enabl, 1], [door, right, 0]]",2.0,1.0,,0.4,0.2857142857142857,,,,,
7532,Dennis,2018-09-01,PreCovid,3,4.0,"[[room, small, 0], [room, small, 0], [room, cool, 0], [night, cold, 4]]",,3.0,,,-0.05000000000000001,,,,1.0,-0.6
7533,kelly885,2018-08-01,PreCovid,3,1.0,[],,,,,,,,,,
7534,Sabrina H,2018-09-01,PreCovid,3,4.0,"[[room, modern, 0], [room, furnish, 0]]",,2.0,,,0.1,,,,,
7535,kalita171,2018-09-01,PreCovid,3,3.0,"[[room, good, 0], [shower, insid, 0], [staff, close, 1], [staff, close, 1]]",2.0,2.0,,0.0,0.35,,,,,
7536,jyoon321,2018-09-01,PreCovid,3,4.0,"[[room, overal, 0], [room, nice, 0], [staff, clean, 1], [staff, nice, 1]]",2.0,2.0,,0.48333333333333334,0.3,,,,,
7537,Luca C,2018-08-01,PreCovid,3,4.0,"[[floor, big, 0]]",,1.0,,,0.0,,,,,
7538,rd0041fp1115,2018-09-01,PreCovid,3,5.0,"[[hotel, nice, 1], [day, singapor, 2], [day, open, 2]]",1.0,,,0.6,,,2.0,0.0,,
7539,Martin,2018-09-01,PreCovid,3,5.0,"[[breakfast, due, 4], [time, long, 2], [staff, singapor, 1]]",1.0,,,0.0,,,1.0,-0.05,1.0,-0.125
7540,Andrew L,2018-09-01,PreCovid,3,5.0,"[[hotel, great, 1], [floor, first, 0], [area, 'also littl', 4]]",1.0,1.0,,0.8,0.25,,,,1.0,0.0
7541,Afiq0000,2018-09-01,PreCovid,3,4.0,"[[time, smooth, 2], [day, second, 2], [place, servic, 1]]",1.0,,,0.0,,,2.0,0.2,,
7542,alfredogotama,2018-09-01,PreCovid,3,5.0,"[[hotel, best, 1]]",1.0,,,1.0,,,,,,
7543,darrencch,2018-09-01,PreCovid,3,4.0,[],,,,,,,,,,
7544,iwan j,2018-09-01,PreCovid,3,5.0,"[[time, next, 2]]",,,,,,,1.0,0.0,,
7545,Niv D,2018-09-01,PreCovid,3,4.0,[],,,,,,,,,,
7546,puishan2018,2018-09-01,PreCovid,3,4.0,"[[room, nice, 0], [room, nice, 0], [room, arrang, 0]]",,3.0,,,0.39999999999999997,,,,,
7547,giannim386,2018-09-01,PreCovid,3,5.0,"[[time, second, 2]]",,,,,,,1.0,0.0,,
7548,WuShengFu,2018-09-01,PreCovid,3,4.0,"[[realli, small, 3]]",,,1.0,,,-0.25,,,,
7549,Debrawyld,2018-09-01,PreCovid,3,4.0,"[[friendli, servic, 1], [staff, good, 1], [breakfast, clean, 4]]",2.0,,,0.35,,,,,1.0,0.3666666666666667
7550,lindsayinnz,2018-09-01,PreCovid,3,3.0,"[[place, good, 1], [place, easi, 1], [breakfast, nice, 4], [room, good, 0], [bathroom, light, 0], [bed, next, 0], [bathroom, next, 0], [bathroom, 'rather next', 0], [shower, imposs, 0], [bathroom, good, 0], [floor, second, 0], [need, clear, 3], [need, entri, 3], [need, someth, 3]]",2.0,8.0,3.0,0.35,0.225,0.03333333333333334,,,1.0,0.6
7551,Explorer739460,2018-09-01,PreCovid,3,5.0,[],,,,,,,,,,
7552,IOWSK,2018-09-01,PreCovid,3,5.0,"[[room, well, 0], [bed, small, 0], [size, good, 0]]",,3.0,,,0.15,,,,,
7553,Extraordinary575635,2018-09-01,PreCovid,3,4.0,"[[stay, short, 1], [room, good, 0], [floor, good, 0], [floor, pastri, 0]]",1.0,3.0,,0.0,0.4666666666666666,,,,,
7554,jbrady823,2018-09-01,PreCovid,3,4.0,"[[room, nice, 0], [room, singapor, 0], [size, small, 0], [room, qualiti, 0], [floor, first, 0], [breakfast, nice, 4], [night, nice, 4]]",,5.0,,,0.12,,,,2.0,0.6
7555,A5973YBmatt,2018-09-01,PreCovid,3,4.0,"[[hotel, nice, 1], [hotel, clean, 1], [staff, attitud, 1], [room, nice, 0], [room, clean, 0], [room, compact, 0]]",3.0,3.0,,0.32222222222222224,0.32222222222222224,,,,,
7556,sarahmunte,2018-09-01,PreCovid,3,5.0,"[[arriv, singapor, 3], [help, nice, 1], [room, largest, 0]]",1.0,1.0,1.0,0.6,0.0,0.0,,,,
7557,SFai,2018-09-01,PreCovid,3,5.0,[],,,,,,,,,,
7558,eduardokasper,2018-09-01,PreCovid,3,4.0,"[[hotel, nice, 1], [hotel, nice, 1], [breakfast, good, 4], [size, good, 0], [room, restauant, 0]]",2.0,2.0,,0.6,0.35,,,,1.0,0.7
7559,Alex L,2018-09-01,PreCovid,3,4.0,"[[room, singapor, 0]]",,1.0,,,0.0,,,,,
7560,Kevin L,2018-09-01,PreCovid,3,5.0,"[[room, clean, 0], [room, neat, 0]]",,2.0,,,0.18333333333333335,,,,,
7561,FilipposMns,2018-09-01,PreCovid,3,5.0,"[[room, good, 0], [room, greater, 0], [room, great, 0], [room, small, 0]]",,4.0,,,0.4375,,,,,
7562,Jerry T,2018-09-01,PreCovid,3,1.0,[],,,,,,,,,,
7563,Perano,2018-09-01,PreCovid,3,5.0,"[[hotel, good, 1], [hotel, nice, 1], [bathroom, small, 0], [bathroom, compact, 0], [breakfast, good, 4], [breakfast, qualiti, 4], [floor, everi, 0]]",2.0,3.0,,0.6499999999999999,-0.08333333333333333,,,,2.0,0.35
7564,aquinaldo,2018-09-01,PreCovid,3,5.0,"[[hotel, great, 1], [time, next, 2]]",1.0,,,0.8,,,1.0,0.0,,
7565,Tony R,2018-09-01,PreCovid,3,4.0,[],,,,,,,,,,
7566,Laell,2018-09-01,PreCovid,3,3.0,"[[night, last, 4], [check, morn, 2], [room, decent, 0], [room, 'still decent', 0]]",,2.0,,,0.16666666666666666,,1.0,0.0,1.0,0.0
7567,kenneth4323,2018-09-01,PreCovid,3,5.0,"[[room, clean, 0], [staff, good, 1], [room, servic, 0], [staff, clean, 1], [help, great, 1], [breakfast, top, 4]]",3.0,2.0,,0.6222222222222222,0.18333333333333335,,,,1.0,0.5
7568,ueharakisako,2018-09-01,PreCovid,3,4.0,[],,,,,,,,,,
7569,弘真 陳,2018-09-01,PreCovid,3,4.0,"[[room, singapor, 0], [room, clean, 0]]",,2.0,,,0.18333333333333335,,,,,
7570,oddjobtone,2018-09-01,PreCovid,3,5.0,"[[hotel, singapor, 1]]",1.0,,,0.0,,,,,,
7571,2759172354,2018-09-01,PreCovid,3,2.0,"[[room, high, 0], [room, hous, 0], [book, small, 2], [room, bad, 0]]",,3.0,,,-0.17999999999999994,,1.0,-0.25,,
7572,rantau62,2018-09-01,PreCovid,3,4.0,[],,,,,,,,,,
7573,Peterbkk58,2018-09-01,PreCovid,3,3.0,"[[room, small, 0], [room, standard, 0], [room, small, 0], [room, present, 0], [staff, clean, 1], [food, great, 1]]",2.0,4.0,,0.5833333333333334,-0.125,,,,,
7574,Arno Fabricio S,2018-09-01,PreCovid,3,5.0,"[[room, well, 0]]",,1.0,,,0.0,,,,,
7575,Amita B,2018-08-01,PreCovid,3,5.0,"[[hotel, great, 1], [time, nice, 2], [time, 'even nice', 2], [water, slight, 0]]",1.0,1.0,,0.8,-0.16666666666666666,,2.0,0.6,,
7576,PeterHorch,2018-09-01,PreCovid,3,4.0,"[[time, good, 2], [time, experi, 2], [time, first, 2], [room, singapor, 0]]",,1.0,,,0.0,,3.0,0.31666666666666665,,
7577,Lee,2018-07-01,PreCovid,3,4.0,"[[room, smaller, 0]]",,1.0,,,0.0,,,,,
7578,Voyage164405,2018-09-01,PreCovid,3,4.0,"[[breakfast, much, 4]]",,,,,,,,,1.0,0.2
7579,Elisa K,2018-09-01,PreCovid,3,5.0,[],,,,,,,,,,
7580,TheTraveller201808,2018-08-01,PreCovid,3,4.0,"[[hotel, nice, 1], [hotel, nice, 1], [room, close, 0], [food, cheap, 1], [food, qualiti, 1], [breakfast, good, 4], [hotel, typical, 1]]",5.0,1.0,,0.2866666666666667,0.0,,,,1.0,0.7
7581,Sunrise D,2018-08-01,PreCovid,3,4.0,"[[hotel, great, 1]]",1.0,,,0.8,,,,,,
7582,gren r,2018-09-01,PreCovid,3,2.0,"[[room, coffe, 0]]",,1.0,,,0.0,,,,,
7583,jamieohalloran,2018-09-01,PreCovid,3,4.0,"[[comfort, small, 1], [floor, 'even th', 0], [food, joint, 1]]",2.0,1.0,,-0.125,0.0,,,,,
7584,jminwalla,2018-09-01,PreCovid,3,5.0,"[[help, backward, 1], [place, nice, 1]]",2.0,,,0.3,,,,,,
7585,Melly S,2018-09-01,PreCovid,3,5.0,"[[time, everi, 2], [room, narrow, 0], [room, nice, 0]]",,2.0,,,0.19999999999999998,,1.0,0.0,,
7586,breneef,2018-09-01,PreCovid,3,4.0,"[[room, nice, 0]]",,1.0,,,0.6,,,,,
7587,danieleberetta,2018-09-01,PreCovid,3,4.0,"[[room, nice, 0], [breakfast, nice, 4], [staff, ant, 1]]",1.0,1.0,,0.0,0.6,,,,1.0,0.6
7588,Ruth Ades S,2018-08-01,PreCovid,3,4.0,"[[breakfast, stylish, 4], [room, 'also lack', 0]]",,1.0,,,0.0,,,,1.0,0.5
7589,Wang095,2018-09-01,PreCovid,3,4.0,"[[room, facilit, 0]]",,1.0,,,0.0,,,,,
7590,eruherm,2018-09-01,PreCovid,3,5.0,"[[floor, first, 0], [room, cleverli, 0]]",,2.0,,,0.125,,,,,
7591,2017sccannatadokoro,2018-09-01,PreCovid,3,4.0,"[[room, stylish, 0], [space, nice, 0], [check, luggag, 2]]",,2.0,,,0.55,,1.0,0.0,,
7592,kerryandnoel,2018-09-01,PreCovid,3,1.0,"[[hotel, noisiest, 1], [door, morn, 0], [night, light, 4], [room, whole, 0], [room, main, 0], [breakfast, overal, 4]]",1.0,3.0,,0.0,0.12222222222222223,,,,2.0,0.2
7593,Enrico Ceri,2018-07-01,PreCovid,3,2.0,"[[room, fine, 0]]",,1.0,,,0.4166666666666667,,,,,
7594,zzz_meow,2018-09-01,PreCovid,3,5.0,"[[room, clean, 0], [room, clean, 0]]",,2.0,,,0.3666666666666667,,,,,
7595,Rajiv3166,2018-09-01,PreCovid,3,5.0,[],,,,,,,,,,
7596,takashitsuchie,2018-09-01,PreCovid,3,4.0,"[[staff, good, 1], [staff, english, 1]]",2.0,,,0.35,,,,,,
7597,angelsenina,2018-08-01,PreCovid,3,4.0,"[[time, clean, 2], [day, last, 2]]",,,,,,,2.0,0.18333333333333335,,
7598,luvimp,2018-09-01,PreCovid,3,4.0,[],,,,,,,,,,
7599,Pia S,2018-09-01,PreCovid,3,4.0,"[[place, great, 1], [room, luggag, 0], [breakfast, small, 4], [breakfast, 'hard put', 4], [food, hot, 1]]",2.0,1.0,,0.525,0.0,,,,2.0,-0.27083333333333337
7600,lgesto86,2018-08-01,PreCovid,3,4.0,[],,,,,,,,,,
7601,hoerandnerverena,2018-09-01,PreCovid,3,4.0,"[[hotel, nice, 1], [room, clean, 0], [room, nice, 0], [stay, difficult, 1], [stay, nice, 1]]",3.0,2.0,,0.2333333333333333,0.48333333333333334,,,,,
7602,tnhan1985,2018-08-01,PreCovid,3,5.0,"[[hotel, good, 1]]",1.0,,,0.7,,,,,,
7603,joywong0615,2018-08-01,PreCovid,3,5.0,[],,,,,,,,,,
7604,l0ttili,2018-09-01,PreCovid,3,4.0,"[[room, small, 0], [space, enough, 0], [shower, good, 0], [breakfast, nice, 4]]",,3.0,,,0.15,,,,1.0,0.6
7605,Tom,2018-09-01,PreCovid,3,4.0,"[[staff, short, 1], [time, close, 2], [room, full, 0], [room, leav, 0], [room, clean, 0], [room, clean, 0]]",1.0,4.0,,0.0,0.27083333333333337,,1.0,0.0,,
7606,andytsui0715,2018-09-01,PreCovid,3,4.0,"[[breakfast, nice, 4], [water, hot, 0], [water, cold, 0]]",,2.0,,,-0.175,,,,1.0,0.6
7607,Rod M,2018-08-01,PreCovid,3,2.0,"[[book, good, 2], [book, small, 2], [room, much, 0], [size, normal, 0]]",,2.0,,,0.175,,2.0,0.22499999999999998,,
7608,J. Ronald,2018-09-01,PreCovid,3,5.0,"[[room, quiet, 0]]",,1.0,,,0.0,,,,,
7609,margaretpetty,2018-07-01,PreCovid,3,3.0,"[[size, larger, 0]]",,1.0,,,0.0,,,,,
7610,Nedko1971,2018-09-01,PreCovid,3,3.0,"[[area, bad, 4], [area, good, 4], [bugi, close, 1], [bed, good, 0], [room, small, 0], [help, 'enough light', 1]]",2.0,2.0,,0.1,0.22499999999999998,,,,2.0,5.551115123125783e-17
7611,malaka34,2018-08-01,PreCovid,3,5.0,"[[room, rich, 0], [room, everyday, 0], [room, clean, 0]]",,3.0,,,0.18055555555555558,,,,,
7612,dharshana22018,2018-09-01,PreCovid,3,4.0,"[[friendli, good, 1]]",1.0,,,0.7,,,,,,
7613,Rana Hameer Sinhji,2018-08-01,PreCovid,3,4.0,"[[hotel, singapor, 1], [room, good, 0], [room, previous, 0], [room, larger, 0]]",1.0,3.0,,0.0,0.17777777777777778,,,,,
7614,AlW,2018-08-01,PreCovid,3,5.0,"[[area, common, 4]]",,,,,,,,,1.0,-0.3
7615,Phuclol L,2018-07-01,PreCovid,3,5.0,"[[hotel, singapor, 1], [hotel, singapor, 1]]",2.0,,,0.0,,,,,,
7616,jackyyang10,2018-08-01,PreCovid,3,5.0,"[[hotel, good, 1], [hotel, nice, 1], [room, weak, 0]]",2.0,1.0,,0.6499999999999999,-0.375,,,,,
7617,hjoo5758,2018-08-01,PreCovid,3,5.0,[],,,,,,,,,,
7618,Andyoct,2018-08-01,PreCovid,3,4.0,"[[room, dark, 0], [hotel, great, 1], [pool, small, 4]]",1.0,1.0,,0.8,-0.15,,,,1.0,-0.25
7619,Jein,2018-09-01,PreCovid,3,5.0,"[[floor, good, 0], [walk, next, 4], [floor, first, 0]]",,2.0,,,0.475,,,,1.0,0.0
7620,mlee15,2018-08-01,PreCovid,3,4.0,"[[room, servic, 0]]",,1.0,,,0.0,,,,,
7621,Roberto P,2018-08-01,PreCovid,3,5.0,"[[breakfast, perfect, 4], [hotel, high, 1], [hotel, qualiti, 1]]",2.0,,,0.08,,,,,1.0,1.0
7622,Ashlin C,2018-09-01,PreCovid,3,3.0,"[[time, long, 2]]",,,,,,,1.0,-0.05,,
7623,robbertschalke,2018-08-01,PreCovid,3,5.0,"[[room, clean, 0], [breakfast, nice, 4], [breakfast, 'still nice', 4], [breakfast, decor, 4], [hotel, wise, 1], [hotel, 'qualiti wise', 1], [food, good, 1], [stay, pleasant, 1]]",4.0,1.0,,0.7083333333333333,0.3666666666666667,,,,3.0,0.39999999999999997
7624,nataschah367,2018-08-01,PreCovid,3,5.0,"[[staff, modern, 1], [staff, clean, 1], [stay, good, 1]]",3.0,,,0.4222222222222222,,,,,,
7625,terry879,2018-08-01,PreCovid,3,4.0,[],,,,,,,,,,
7626,andrewme2018,2018-08-01,PreCovid,3,5.0,"[[help, perfect, 1], [room, great, 0], [hotel, new, 1], [hotel, big, 1]]",3.0,1.0,,0.37878787878787873,0.8,,,,,
7627,Jackie Y,2018-08-01,PreCovid,3,5.0,"[[room, experi, 0], [staff, new, 1], [staff, tidi, 1], [hotel, good, 1]]",3.0,1.0,,0.27878787878787875,0.0,,,,,
7628,gverma2018,2018-08-01,PreCovid,3,5.0,"[[staff, nice, 1], [staff, clean, 1]]",2.0,,,0.48333333333333334,,,,,,
7629,Davor M,2018-08-01,PreCovid,3,5.0,"[[time, sever, 2], [place, french, 1]]",1.0,,,0.0,,,1.0,0.0,,
7630,md16-77,2018-08-01,PreCovid,3,3.0,"[[time, third, 2], [floor, worst, 0]]",,1.0,,,-1.0,,1.0,0.0,,
7631,Voyage134249,2018-08-01,PreCovid,3,4.0,[],,,,,,,,,,
7632,Jack S,2018-07-01,PreCovid,3,5.0,"[[book, singapor, 2], [room, good, 0], [hotel, best, 1], [walk, singapor, 4], [walk, short, 4]]",1.0,1.0,,1.0,0.7,,1.0,0.0,2.0,0.0
7633,nmaglic,2018-08-01,PreCovid,3,4.0,"[[hotel, central, 1], [room, nice, 0], [room, modern, 0]]",1.0,2.0,,0.0,0.4,,,,,
7634,ag_soob,2018-08-01,PreCovid,3,3.0,"[[hotel, nice, 1], [room, nice, 0], [room, clean, 0]]",1.0,2.0,,0.6,0.48333333333333334,,,,,
7635,FrancescaTorin,2018-08-01,PreCovid,3,5.0,"[[place, cool, 1], [room, singapor, 0], [room, nice, 0], [day, perfect, 2], [room, close, 0]]",1.0,3.0,,0.35,0.19999999999999998,,1.0,1.0,,
7636,Craig B,2018-08-01,PreCovid,3,5.0,"[[staff, singapor, 1], [bed, regular, 0], [bed, clean, 0]]",1.0,2.0,,0.0,0.18333333333333335,,,,,
