,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating,valid_rating,label,cleaned_review,combined_review,date,covid,year,stem_review,lem_review
10,Pavan G,Please don’t trust this hotel booking,"Hi, I had made a booking for this hotel for my visit and days before my travel and just during the visa processing stage, got to know that the property has cancelled all the bookings and without notice and there was limited option to chose as traveling with a small child is very difficult and with uncertainty added on top. I don’t understand the ruthlessness that these hotels operate. How can one make any booking and trust the booking to stay on the day of arrival if the matters can change in minutes. I have travelled and stayed in many countries but first time travelling to Singapore and this hotel just left a bad impression on Singapore on the whole.",Trip type: Travelled with family,,1.0,,1.0,True,Negative,please trust hotel booking hi made booking hotel visit days travel visa processing stage got know property cancelled bookings without notice limited option chose traveling small child difficult uncertainty added top understand ruthlessness hotels operate one make booking trust booking stay day arrival matters change minutes travelled stayed many countries first time travelling singapore hotel left bad impression singapore whole,"Please don’t trust this hotel booking Hi, I had made a booking for this hotel for my visit and days before my travel and just during the visa processing stage, got to know that the property has cancelled all the bookings and without notice and there was limited option to chose as traveling with a small child is very difficult and with uncertainty added on top. I don’t understand the ruthlessness that these hotels operate. How can one make any booking and trust the booking to stay on the day of arrival if the matters can change in minutes. I have travelled and stayed in many countries but first time travelling to Singapore and this hotel just left a bad impression on Singapore on the whole.",2023-08-01,PostCovid,2023,pleas trust hotel book hi made book hotel visit day travel visa process stage got know properti cancel book without notic limit option chose travel small child difficult uncertainti ad top understand ruthless hotel oper one make book trust book stay day arriv matter chang minut travel stay mani countri first time travel singapor hotel left bad impress singapor whole,please trust hotel booking hi make book hotel visit day travel visa processing stage get know property cancel booking without notice limited option choose travel small child difficult uncertainty add top understand ruthlessness hotel operate one make book trust booking stay day arrival matter change minute travel stay many country first time travel singapore hotel leave bad impression singapore whole
11,Hei tong L,Suitable location with value,Location is perfect. Close to all nearby amenities and shops. Hotel is very well located between 2 Mrt systems and it makes it very convenient for us to travel. Room size is good and comfortable. Hotel staff reception Eugene is very helpful and helped us to arrange for our rooms and very friendly and give helpful recommendations for our stay. Hotel gives good value and allowed us to enjoy our time.,Trip type: Travelled as a couple,,1.0,,5.0,True,Positive,suitable location value location perfect close nearby amenities shops hotel well located mrt systems makes convenient us travel room size good comfortable hotel staff reception eugene helpful helped us arrange rooms friendly give helpful recommendations stay hotel gives good value allowed us enjoy time,Suitable location with value Location is perfect. Close to all nearby amenities and shops. Hotel is very well located between 2 Mrt systems and it makes it very convenient for us to travel. Room size is good and comfortable. Hotel staff reception Eugene is very helpful and helped us to arrange for our rooms and very friendly and give helpful recommendations for our stay. Hotel gives good value and allowed us to enjoy our time.,2023-08-01,PostCovid,2023,suitabl locat valu locat perfect close nearbi amen shop hotel well locat mrt system make conveni us travel room size good comfort hotel staff recept eugen help help us arrang room friendli give help recommend stay hotel give good valu allow us enjoy time,suitable location value location perfect close nearby amenity shop hotel well locate mrt system make convenient us travel room size good comfortable hotel staff reception eugene helpful help we arrange room friendly give helpful recommendation stay hotel give good value allow we enjoy time
12,bpnsutar,Happy stay at Hotel,"Overall it was Happy stay at the Hotel.
The Jacuzzi and Swimming pool area was closed due to internal reasons.
Should have other complementary services other than stay to make the stay pleasent.
Staff is friendly and helpful.",,"Bengaluru, India",1.0,,4.0,True,Positive,happy stay hotel overall happy stay hotel jacuzzi swimming pool area closed due internal reasons complementary services stay make stay pleasent staff friendly helpful,"Happy stay at Hotel Overall it was Happy stay at the Hotel.
The Jacuzzi and Swimming pool area was closed due to internal reasons.
Should have other complementary services other than stay to make the stay pleasent.
Staff is friendly and helpful.",2023-08-01,PostCovid,2023,happi stay hotel overal happi stay hotel jacuzzi swim pool area close due intern reason complementari servic stay make stay pleasent staff friendli help,happy stay hotel overall happy stay hotel jacuzzi swimming pool area close due internal reason complementary service stay make stay pleasent staff friendly helpful
13,msisonthemove,Excellent place to stay in Singapore,"Extremely good hotel within walking distance from Rocher and Little India MRT making it extremely convenient to travel anywhere in Spore. The market of little India is also just walking distance which has excellent food options - Indian (vegetarian)
The rooms are very spacious - not usually found such large rooms in Singapore. The housekeeping services are excellent and the staff is very cooperative

The only area of improvement is the variety of items in breakfast. There were very little options for vegetarions and they kept repeating every day.",,"Hyderabad, India",1.0,,4.0,True,Positive,excellent place stay singapore extremely good hotel within walking distance rocher little india mrt making extremely convenient travel anywhere spore market little india also walking distance excellent food options indian vegetarian rooms spacious usually found large rooms singapore housekeeping services excellent staff cooperative area improvement variety items breakfast little options vegetarions kept repeating every day,"Excellent place to stay in Singapore Extremely good hotel within walking distance from Rocher and Little India MRT making it extremely convenient to travel anywhere in Spore. The market of little India is also just walking distance which has excellent food options - Indian (vegetarian)
The rooms are very spacious - not usually found such large rooms in Singapore. The housekeeping services are excellent and the staff is very cooperative

The only area of improvement is the variety of items in breakfast. There were very little options for vegetarions and they kept repeating every day.",2023-08-01,PostCovid,2023,excel place stay singapor extrem good hotel within walk distanc rocher littl india mrt make extrem conveni travel anywher spore market littl india also walk distanc excel food option indian vegetarian room spaciou usual found larg room singapor housekeep servic excel staff cooper area improv varieti item breakfast littl option vegetarion kept repeat everi day,excellent place stay singapore extremely good hotel within walk distance rocher little india mrt make extremely convenient travel anywhere spore market little india also walk distance excellent food option indian vegetarian room spacious usually find large room singapore housekeeping service excellent staff cooperative area improvement variety item breakfast little option vegetarion keep repeat every day
14,Resort15966852890,Very nice property,It is one of the nicest hotels to stay. Good property. Many eateries nearby. Convenience store is beside the hotel. Special thanks to Mr Ahgilan who helped us a lot and arranged for early checkin as well. He is very courteous and well behaved staff member.,Trip type: Travelled with family,,2.0,,5.0,True,Positive,nice property one nicest hotels stay good property many eateries nearby convenience store beside hotel special thanks mr ahgilan helped us lot arranged early checkin well courteous well behaved staff member,Very nice property It is one of the nicest hotels to stay. Good property. Many eateries nearby. Convenience store is beside the hotel. Special thanks to Mr Ahgilan who helped us a lot and arranged for early checkin as well. He is very courteous and well behaved staff member.,2023-08-01,PostCovid,2023,nice properti one nicest hotel stay good properti mani eateri nearbi conveni store besid hotel special thank mr ahgilan help us lot arrang earli checkin well courteou well behav staff member,nice property one nice hotel stay good property many eatery nearby convenience store beside hotel special thank mr ahgilan help we lot arrange early checkin well courteous well behave staff member
15,SO,Short Staycation,"Very quiet environment. Before check-in, had dropped a request email, but there was no response. Called the reception,  nobody picked up after several calling. And request/enquiry was not handled professionally when finally the call was picked up. But had to call in again, the gentleman did well in getting all the necessary details. I didn't mention to get his name. Lobby scent is too strong. Cafe menu is not attractive and abit expensive. Interior design and furniture have aged. Overall stay was fine, but felt it was over-priced.",,Worldwide,5.0,,3.0,True,Neutral,short staycation quiet environment check dropped request email response called reception nobody picked several calling request enquiry handled professionally finally call picked call gentleman well getting necessary details mention get name lobby scent strong cafe menu attractive abit expensive interior design furniture aged overall stay fine felt priced,"Short Staycation Very quiet environment. Before check-in, had dropped a request email, but there was no response. Called the reception,  nobody picked up after several calling. And request/enquiry was not handled professionally when finally the call was picked up. But had to call in again, the gentleman did well in getting all the necessary details. I didn't mention to get his name. Lobby scent is too strong. Cafe menu is not attractive and abit expensive. Interior design and furniture have aged. Overall stay was fine, but felt it was over-priced.",2023-07-01,PostCovid,2023,short staycat quiet environ check drop request email respons call recept nobodi pick sever call request enquiri handl profession final call pick call gentleman well get necessari detail mention get name lobbi scent strong cafe menu attract abit expens interior design furnitur age overal stay fine felt price,short staycation quiet environment check drop request email response call reception nobody pick several calling request enquiry handle professionally finally call pick call gentleman well get necessary detail mention get name lobby scent strong cafe menu attractive abit expensive interior design furniture age overall stay fine feel price
16,Camper02260127260,Incredible staff.,"The staff are incredible. One of us suffered an accident as we left the hotel to go to church. Two night staff heading home rushed to assist and two others from the hotel also. They called an ambulance. The hospital provided treatment in time for us to catch our flight back to NZ. The hotel looked after our room and allowed us to continue using it without charge as we packed. They helped us to get transport to the airport.
This was done relationally and efficiently. We cannot thank them enough for their self-less care which also had appropriate humour that we enjoyed. The room was beautifully clean and comfortable. Top marks, Village Hotel!",Trip type: Travelled as a couple,,1.0,,5.0,True,Positive,incredible staff staff incredible one us suffered accident left hotel go church two night staff heading home rushed assist two others hotel also called ambulance hospital provided treatment time us catch flight back nz hotel looked room allowed us continue using without charge packed helped us get transport airport done relationally efficiently cannot thank enough self less care also appropriate humour enjoyed room beautifully clean comfortable top marks village hotel,"Incredible staff. The staff are incredible. One of us suffered an accident as we left the hotel to go to church. Two night staff heading home rushed to assist and two others from the hotel also. They called an ambulance. The hospital provided treatment in time for us to catch our flight back to NZ. The hotel looked after our room and allowed us to continue using it without charge as we packed. They helped us to get transport to the airport.
This was done relationally and efficiently. We cannot thank them enough for their self-less care which also had appropriate humour that we enjoyed. The room was beautifully clean and comfortable. Top marks, Village Hotel!",2023-08-01,PostCovid,2023,incred staff staff incred one us suffer accid left hotel go church two night staff head home rush assist two other hotel also call ambul hospit provid treatment time us catch flight back nz hotel look room allow us continu use without charg pack help us get transport airport done relat effici cannot thank enough self less care also appropri humour enjoy room beauti clean comfort top mark villag hotel,incredible staff staff incredible one we suffer accident leave hotel go church two night staff head home rush assist two other hotel also call ambulance hospital provide treatment time we catch flight back nz hotel look room allow we continue use without charge packed help we get transport airport do relationally efficiently can not thank enough self less care also appropriate humour enjoy room beautifully clean comfortable top mark village hotel
17,abdulrahim143,Best Hospitality,"Exceed the expectation. Close to Little India, MRT Stations and Shopping Hub.. Good Indian Restaurants in and around. Hotel staffs were good and responsive. Best Housekeeping services. i think i missed some amenities they have like swimming pool. Overall it was awesome. Thank you",,"Chennai District, India",1.0,,5.0,True,Positive,best hospitality exceed expectation close little india mrt stations shopping hub good indian restaurants around hotel staffs good responsive best housekeeping services think missed amenities like swimming pool overall awesome thank,"Best Hospitality Exceed the expectation. Close to Little India, MRT Stations and Shopping Hub.. Good Indian Restaurants in and around. Hotel staffs were good and responsive. Best Housekeeping services. i think i missed some amenities they have like swimming pool. Overall it was awesome. Thank you",2023-08-01,PostCovid,2023,best hospit exceed expect close littl india mrt station shop hub good indian restaur around hotel staff good respons best housekeep servic think miss amen like swim pool overal awesom thank,good hospitality exceed expectation close little india mrt station shop hub good indian restaurant around hotel staff good responsive good housekeeping service think miss amenity like swimming pool overall awesome thank
18,Sightsee50075197958,Old world charm in the middle of Singapore,"Real old world charm, warmth and hospitality. Smiles all around and to be greeted by Pathmini first thing during check in was indeed rejuvenating. The rooms were good and the sound of running water in the courtyard had a therapeutic effect all through my stay.",Trip type: Travelled on business,,2.0,1.0,5.0,True,Positive,old world charm middle singapore real old world charm warmth hospitality smiles around greeted pathmini first thing check indeed rejuvenating rooms good sound running water courtyard therapeutic effect stay,"Old world charm in the middle of Singapore Real old world charm, warmth and hospitality. Smiles all around and to be greeted by Pathmini first thing during check in was indeed rejuvenating. The rooms were good and the sound of running water in the courtyard had a therapeutic effect all through my stay.",2023-08-01,PostCovid,2023,old world charm middl singapor real old world charm warmth hospit smile around greet pathmini first thing check inde rejuven room good sound run water courtyard therapeut effect stay,old world charm middle singapore real old world charm warmth hospitality smile around greet pathmini first thing check indeed rejuvenate room good sound run water courtyard therapeutic effect stay
19,CartonBox83758,"Big rooms, wonderful area and BEST STAFF","Wonderful hotel at a very good district. nice and easy to travel and SUPERB VALUE. best part is all the ultra friendly and approachable staff members in the hotel. It doesn't give a serious feel and every interaction with the reception is friendly and cordial, personalized and warm!! Room is big compared to nearby hotels.",Trip type: Travelled with family,"Mumbai, India",1.0,,5.0,True,Positive,big rooms wonderful area best staff wonderful hotel good district nice easy travel superb value best part ultra friendly approachable staff members hotel give serious feel every interaction reception friendly cordial personalized warm room big compared nearby hotels,"Big rooms, wonderful area and BEST STAFF Wonderful hotel at a very good district. nice and easy to travel and SUPERB VALUE. best part is all the ultra friendly and approachable staff members in the hotel. It doesn't give a serious feel and every interaction with the reception is friendly and cordial, personalized and warm!! Room is big compared to nearby hotels.",2023-08-01,PostCovid,2023,big room wonder area best staff wonder hotel good district nice easi travel superb valu best part ultra friendli approach staff member hotel give seriou feel everi interact recept friendli cordial person warm room big compar nearbi hotel,big room wonderful area good staff wonderful hotel good district nice easy travel superb value good part ultra friendly approachable staff member hotel give serious feel every interaction reception friendly cordial personalize warm room big compare nearby hotel
20,victorjs834,The Best Stay for a Leisure Trip,John in the reception was helpful and courteous. Good location near to ROCHOR MRT and walkable distance to Little India. Close proximity to shopping and variety of food choices. Well connected to all Attractions served both by Bus and MRT. All things well except for Breakfast were things were in short supply and limited variety. A change in Menu on a daily basis would benefit long stayers,,"Tiruchirappalli, India",1.0,,5.0,True,Positive,best stay leisure trip john reception helpful courteous good location near rochor mrt walkable distance little india close proximity shopping variety food choices well connected attractions served bus mrt things well except breakfast things short supply limited variety change menu daily basis would benefit long stayers,The Best Stay for a Leisure Trip John in the reception was helpful and courteous. Good location near to ROCHOR MRT and walkable distance to Little India. Close proximity to shopping and variety of food choices. Well connected to all Attractions served both by Bus and MRT. All things well except for Breakfast were things were in short supply and limited variety. A change in Menu on a daily basis would benefit long stayers,2023-08-01,PostCovid,2023,best stay leisur trip john recept help courteou good locat near rochor mrt walkabl distanc littl india close proxim shop varieti food choic well connect attract serv bu mrt thing well except breakfast thing short suppli limit varieti chang menu daili basi would benefit long stayer,good stay leisure trip john reception helpful courteous good location near rochor mrt walkable distance little india close proximity shopping variety food choice well connected attraction serve bus mrt thing well except breakfast thing short supply limit variety change menu daily basis would benefit long stayer
